Rollover Text	Right-Click Text
160	ENTRY_SCENARIO_NAME_1 
161	ENTRY_SCENARIO_NAME_2 
162	ENTRY_SCENARIO_NAME_3 
163	ENTRY_SCENARIO_NAME_4 
164	ENTRY_SCENARIO_NAME_5 
165	ENTRY_SCENARIO_NAME_6 
166	ENTRY_SCENARIO_NAME_7 
167	ENTRY_SCENARIO_NAME_8 
168	ENTRY_SCENARIO_NAME_9 
169	ENTRY_SCENARIO_NAME_10 
170	ENTRY_SCENARIO_NAME_11 
171	ENTRY_SCENARIO_NAME_12 
172	ENTRY_SCENARIO_NAME_13 
173	ENTRY_SCENARIO_NAME_14 
174	ENTRY_SCENARIO_NAME_15 
175	ENTRY_SCENARIO_NAME_16 
176	ENTRY_SCENARIO_NAME_17 
177	ENTRY_SCENARIO_NAME_18 
178	Продолжительность хода
179	Сообщения чата
180	CHAT_ENTRY
181	CHAT_PLUG
182	Игроки
183	CHAT_PLAYER_SLIDER
184	ROLLOVER
185	Сохранить выбранную игру
186	Начать выбранный сценарий
187	BACK
188	Закрыть окно
(действий не было)
189	Размер текущей карты
(Маленькая, Средняя, Большая, Очень Большая, Огромная, Громадная, Гигантская)
190	Сортировать карты по количеству игроков
191	Сортировать карты по размеру
192	Сортировать карты по версиям
193	Сортировать карты по алфавиту
194	Сортировать карты по условиям победы
195	Сортировать карты по условиям поражения
196	BRIEFING 
197	SSHERO 
198	GOLDPIC 
199	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
200	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
201	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
202	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
203	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
204	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
205	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
206	""Человек или ИИ"" означает, что этим цветом может играть и человек, и компьютер. ""Только ИИ"" означает, что этим цветом может играть только компьютер.
207	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
208	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
209	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
210	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
211	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
212	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
213	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
214	Позволяет помешать этому игроку, уничтожая его стартовые ресурсы.
215	Позволяет вам выбрать тип стартового города
216	Позволяет вам выбрать тип стартового города
217	Позволяет вам выбрать тип стартового города
218	Позволяет вам выбрать тип стартового города
219	Позволяет вам выбрать тип стартового города
220	Позволяет вам выбрать тип стартового города
221	Позволяет вам выбрать тип стартового города
222	Позволяет вам выбрать тип стартового города
223	Позволяет вам выбрать тип стартового города
224	Позволяет вам выбрать тип стартового города
225	Позволяет вам выбрать тип стартового города
226	Позволяет вам выбрать тип стартового города
227	Позволяет вам выбрать тип стартового города
228	Позволяет вам выбрать тип стартового города
229	Позволяет вам выбрать тип стартового города
230	Позволяет вам выбрать тип стартового города
231	Позволяет вам выбрать стартового героя, основываясь на типе города
232	Позволяет вам выбрать стартового героя, основываясь на типе города
233	Позволяет вам выбрать стартового героя, основываясь на типе города
234	Позволяет вам выбрать стартового героя, основываясь на типе города
235	Позволяет вам выбрать стартового героя, основываясь на типе города
236	Позволяет вам выбрать стартового героя, основываясь на типе города
237	Позволяет вам выбрать стартового героя, основываясь на типе города
238	Позволяет вам выбрать стартового героя, основываясь на типе города
239	Позволяет вам выбрать стартового героя, основываясь на типе города
240	Позволяет вам выбрать стартового героя, основываясь на типе города
241	Позволяет вам выбрать стартового героя, основываясь на типе города
242	Позволяет вам выбрать стартового героя, основываясь на типе города
243	Позволяет вам выбрать стартового героя, основываясь на типе города
244	Позволяет вам выбрать стартового героя, основываясь на типе города
245	Позволяет вам выбрать стартового героя, основываясь на типе города
246	Позволяет вам выбрать стартового героя, основываясь на типе города
247	Позволяет выбрать стартовый бонус герою
248	Позволяет выбрать стартовый бонус герою
249	Позволяет выбрать стартовый бонус герою
250	Позволяет выбрать стартовый бонус герою
251	Позволяет выбрать стартовый бонус герою
252	Позволяет выбрать стартовый бонус герою
253	Позволяет выбрать стартовый бонус герою
254	Позволяет выбрать стартовый бонус герою
255	Позволяет выбрать стартовый бонус герою
256	Позволяет выбрать стартовый бонус герою
257	Позволяет выбрать стартовый бонус герою
258	Позволяет выбрать стартовый бонус герою
259	Позволяет выбрать стартовый бонус герою
260	Позволяет выбрать стартовый бонус герою
261	Позволяет выбрать стартовый бонус герою
262	Позволяет выбрать стартовый бонус герою
263	Щёлкните здесь, чтобы играть этим цветом
264	Щёлкните здесь, чтобы играть этим цветом
265	Щёлкните здесь, чтобы играть этим цветом
266	Щёлкните здесь, чтобы играть этим цветом
267	Щёлкните здесь, чтобы играть этим цветом
268	Щёлкните здесь, чтобы играть этим цветом
269	Щёлкните здесь, чтобы играть этим цветом
270	Щёлкните здесь, чтобы играть этим цветом
271	TOWN_SETTING_1 
272	TOWN_SETTING_2 
273	TOWN_SETTING_3 
274	TOWN_SETTING_4 
275	TOWN_SETTING_5 	
276	TOWN_SETTING_6 	
277	TOWN_SETTING_7 	
278	TOWN_SETTING_8 	
279	create_map
280	Выберите размер карты
281	Создать маленькую карту
282	Создать среднюю карту
283	Создать большую карту
284	Создать очень большую карту
285	Выберите одно- или двухуровневую карту
286	Выберите число человеко-играбельных позиций
287	Создать 1 игрока-пользователя
288	Создать 2 игроков-пользователей
289	Создать 3 игроков-пользователей
290	Создать 4 игроков-пользователей
291	Создать 5 игроков-пользователей
292	Создать 6 игроков-пользователей
293	Создать 7 игроков-пользователей
294	Создать 8 игроков-пользователей
295	Создать от 1 до 8 игроков-пользователей
296	Выбрать число команд для человеко-играбельных позиций
297	Нет команд
298	Создать 1 команду людей
299	Создать 2 команды людей
300	Создать 3 команды людей
301	Создать 4 команды людей
302	Создать 5 команд людей
303	Создать 6 команд людей
304	Создать 7 команд людей
305	Создать произвольное число команд пользователя
306	Выберите число "Только ИИ"-позиций
307	Не создавать компьютерных игроков
308	Создать 1 позицию "Только ИИ"
309	Создать 2 позиции "Только ИИ"
310	Создать 3 позиции "Только ИИ"
311	Создать 4 позиции "Только ИИ"
312	Создать 5 позиций "Только ИИ"
313	Создать 6 позиций "Только ИИ"
314	Создать 7 позиций "Только ИИ"
315	Создать случайное количество позиций "Только ИИ"
316	Выберите число команд ИИ
317	Нет команд ИИ
318	Создать 1 команду ИИ
319	Создать 2 команды ИИ
320	Создать 3 команды ИИ
321	Создать 4 команды ИИ
322	Создать 5 команд ИИ
323	Создать 6 команд ИИ
324	Создать случайное число команд ИИ
325	Выберите количество воды на карте
326	Минимум или нет воды
327	Создать континент, окружённый водой
328	Создать много маленьких островов, окружённых водой
329	Выбрать случайное количество воды
330	Выбрать относительно сильных охраняющих монстров
331	Сделать монстров слабее, чем обычно
332	Обычные монстры
333	Создать сильных стражей
334	Выбрать случайную общую силу охраняющих монстров
335	Показать недавно сгенерированные карты
336	Прокрутка текста чата
337	Прокрутка списка карт или сохранённых игр
338	Позволяет изменить продолжительность хода
339	{Имя игрока / Тип помехи}

Каждая ячейка, которую может занять игрок, помечена значком. Для того, чтобы изменить позицию, щёлкните по значку. Также можно щёлкнуть по имени, для того чтобы изменить его.

Каждому игроку можно ""помешать"". Для этого нужно нажать на кнопку ""помеха"". Всего три уровня: нет помехи, средняя помеха и большая помеха. Средняя и большая помехи уменьшают стартовые ресурсы.

340	{Продолжительность Хода}

Пользуясь линейкой, можно установить ""мягкий"" режим ходов. При этом, во время битвы таймер останавливается, а в остальное время таймер отсчитывает время.

Продолжительность Цикла может быть 1, 2, 4, 6, 8, 10, 15, 20, 25, и 30 минут.
'Неограниченно' стоит по умолчанию.

341	{Исходный Город}

Каждый игрок может иметь возможность выбрать стартовый город. Можно выбрать из случайного, Замка, Оплота, Башни, Инферно, Некрополиса, Темницы, Цитадели и Крепости.

Выбор стартового города также влияет на класс стартового героя.

342	{Исходный Город}

Каждый игрок может иметь возможность выбрать стартовый город. Можно выбрать из случайного, Замка, Оплота, Башни, Инферно, Некрополиса, Темницы, Цитадели, Крепости, Сопряжения и Причала.

Выбор стартового города также влияет на класс стартового героя.

343	{Исходный Герой}

Каждый игрок может или не может начинать с героем. Иногда эта опция может отсутствовать или быть выключенной. В остальное время на ваш выбор предлагается до 16 героев. Если включена опция ""Исходный Город"", вы можете выбирать класс героя из предоставляемых вам на выбор.

Чтобы посмотреть имя героя, его класс и в чём он специализируется, щёлкните правой кнопкой мыши по его портрету.
344	{Стартовый Бонус}

Стартовый Бонус позволяет выбрать случайный артефакт, 500-1000 золотых или 5-10 единиц дерева или руды.
	_6A7494
Multiplayer Selection	_6A65DC
	
Online Service	{Сервис он-лайн}

Позволяет играть он-лайн
Горячий Стул	{Хот сит}

Позволяет нескольким игрокам играть за одним компьютером
IPX	{IPX}

Позволяет нескольким игрокам играть в локальной сети
TCP/IP	{TCP/IP}

Позволяет нескольким игрокам играть в локальной сети или через internet
Модем	{Модем}

Позволяет двум игрокам соединяться по модему
Direct Connect	{Прямое подключение}

Позволяет двум игрокам подключаться через 0-модем
Сервер	{Сервер}

Позволяет устанавливать и создавать игру, к которой могут подключаться остальные
Войти в игру	{Подключиться}

Показывает список игр, к которым можно подключиться
Найти игры	{Искать игру}

Позволяет ввести IP-адрес, к которому нужно подключиться
	GAMENAME 1
	GAMENAME 2
	GAMENAME 3
	GAMENAME 4
	GAMENAME 5
	GAMENAME 6
	GAMENAME 7
	GAMENAME 8
	GAMENAME 9
	GAMENAME 10
	GAMENAME 11
	GAMENAME 12
Пролистать список игр	Список доступных игр
	
Отмена	Вернуться в предыдущий экран
	_6A66A4
Adventure Map Window	_6A574C
Карта Мира	Это уменьшенный вид на Мир. Щёлкнув по любому месту на карте, можно переключить карту в это место, а можно перемещать прямоугольник по карте для перемещения Карты Приключений
	Место под новые кнопки для модификации
{ERA} {PLUS},
которые отображаются только при ширине экоана выше 700 пикселей.
Обзор Королевства	{Вид на Королевство}

Показывает города и героев Королевства.
Поверхность/Подземный Мир	{Наземный/Подземный вид}

Переключает карту приключений между уровнями.
Журнал	{Журнал}

Показывает список выданных заданий.
Усыпить/Разбудить Героя	{Усыпить/разбудить героя}

Усыпляет выбранного героя или пробуждает спящего. Все спящие герои игнорируются кнопкой ""Следующий герой""
Переместить Героя	{Переместить героя}

Перемещает текущего героя в выбранное место.
Сотворить Заклинание	{Сотворить заклинание}

Сотворить глобальное заклинание
Опции Приключений	{Опции приключений}

Позволяют раскапывать Грааль, просматривать карту-загадку, карту мира и информацию о сценарии. В многопользовательских играх можно просматривать последний ход оппонента.
Системные Опции	{Системные опции}

Позволяет просматривать и менять текущие настройки игры.
Следующий Герой	{Следующий герой}

Выделяет следующего героя, у которого ещё остались единицы перемещения. Все спящие герои игнорируются.
Закончить ход	{Закончить ход}

Заканчивает текущий ход
Список Героев	{Список героев}

Просмотреть список доступных героев
Список Героев	{Список героев}

Просмотреть список доступных героев
Портрет Героя	{Портрет героя}

Первый щелчок выделяет героя и перемещает карту к нему. Второй щелчок выводит информацию о герое.
Список Городов	{Список городов}

Просмотреть список доступных городов
Список Городов	{Список городов}

Просмотреть список доступных городов
Вид Города	{Вид города}

Первый щелчок выделяет город и перемещает карту к нему. Второй щелчок выводит информацию о городе.
Золото	Количество золота в вашей сокровищнице
Дерево	Общий запас дерева
Ртуть	Общий запас ртути
Руда	Общий запас руды
Сера	Общий запас серы
Кристаллы	Общий запас кристаллов
Самоцветы	Общий запас самоцветов
Дата	{Дата}

Текущий месяц, неделя и день
ROLLOVER	ROLLOVER
	_6A5824
System Options	_6A75EC
Основное Меню	{Главное меню}

Прервать игру и вернуться в главное меню
Загрузить Игру	{Загрузить игру}

Загрузить Игру
Сохранить Игру	{Сохранить игру}

Сохранить текущую игру
Переиграть Сценарий	{Начать заново}

Начать текущую игру заново
Выход из игры	{Выход из игры}

Выйти из
Героев Меча и Магии III
Вернуться	{Вернуться в игру}

Вернуться на карту приключений!
	Выключить музыку
	Установить громкость музыки на 1
	Установить громкость музыки на 2
	Установить громкость музыки на 3
	Установить громкость музыки на 4
	Установить громкость музыки на 5
	Установить громкость музыки на 6
	Установить громкость музыки на 7
	Установить громкость музыки на 8
	Установить громкость музыки на 9
	Выключить звуковые эффекты
	Установить громкость звуковых эффектов на 1
	Установить громкость звуковых эффектов на 2
	Установить громкость звуковых эффектов на 3
	Установить громкость звуковых эффектов на 4
	Установить громкость звуковых эффектов на 5
	Установить громкость звуковых эффектов на 6
	Установить громкость звуковых эффектов на 7
	Установить громкость звуковых эффектов на 8
	Установить громкость звуковых эффектов на 9
	MUSIC_TYPE_NONE_ID
	MUSIC_TYPE_CD_ID
	MUSIC_TYPE_MIDI_ID
	Установить прогулочную скорость движения героя 
(самая медленная)
	Установить скорость движения героя на рысь
	Установить скорость движения героя на галоп
	Установить скорость передвижения героя на прыжки 
(без анимации — самая быстрая)
	Установить скорость передвижения противника на рысь
(самая медленная)
	Установить скорость передвижения противника на галоп
	Установить скорость передвижения противника на прыжки 
(без анимации — самая быстрая)
	Не показывать передвижения противника
	Установить низкую скорость прокрутки экрана
	Установить среднюю скорость прокрутки экрана
	Установить высокую скорость прокрутки экрана
	{Показывать путь Героя}

Показывать путь Героя без перемещения самого Героя.
	{Напоминать о запасе хода}

Спрашивать подтверждение конца хода, если хотя бы у одного героя остался запас хода.
	{Быстрая битва}

Эта опция позволяет компьютеру просчитать исход битвы, и играющий увидит лишь информацию о её исходе.
	{Субтитры}

Показывать субтитры ко всем анимированным заставкам.
	{Низкое качество видео}

Рекомендовано для слабых компьютеров, у которых возникают проблемы при проигрывании полноэкранного видео.
	{Высокое качество видео}

Рекомендовано для мощных компьютеров, которые могут проигрывать полноэкранное видео высокого качества.
	{Контуры городских зданий}

Выделять здания в окне города при наведении мышкой.
	{Анимация книги заклинаний}

В Книге Заклинаний будут переворачиваться странички.
	_6A776C
Adventure Options	_6A659C
Посмотреть Мир	{Просмотреть Мир}

Увидеть Мир с высоты птичьего полёта
Посмотреть Карту-загадку	{Просмотреть Карту-загадку}

Просмотр Карты с потерянным Граалем
Посмотреть Информацию о Сценарии	{Просмотреть Информацию о Сценарии}

Просмотр информации о текущем Сценарии
Копать	{Копать}

Вести раскопки потерянного Грааля
Повторить Ход Оппонента	{Повторить Ход Оппонента}

Повторяет события с вашего последнего хода
	ROLLOVER
Ок	{Ок}

Вернуться к Карте Приключений
	_6A65D4
Combat Window	_6A69D4
Капитулировать	{Капитулировать}

Капитулировать перед врагом. Ваш герой должен будет заплатить врагу, чтобы покинуть поле брани, но он может быть незамедлительно нанят в таверне со всеми оставшимися войсками и со своими артефактами.
Отступить	{Отступить}

Ваш герой сбежит с поля боя, но он может быть незамедлительно нанят в таверне со своими артефактами.
Настройки Битвы	{Настройки битвы}

Позволяет просматривать и менять текущие настройки битвы
Автоматическая Битва	{Автоматическая битва}

Компьютер берёт ведение боя на себя. Вы можете вернуть себе контроль над ходом сражения, щёлкнув мышкой по экрану. Вы сможете контролировать следующее движение ваших войск.
	Текст сражения появляется в этом окне
	Просматривать текст, появляющийся во время битвы
Сотворить Заклинание	{Сотворить заклинание}

Открывает Книгу Заклинаний, позволяя вашему герою сотворить заклинание
Ждать	{Ждать}

Пропустить ход подразделения, до тех пор, пока остальные войска не продвинутся
Защищаться	{Защищаться}

Увеличивает защиту отдельного юнита, принося в жертву этот ход
Ожидание тактической Фазы	Ожидание тактической Фазы
Окончание тактической Фазы	{Окончание тактической фазы}

Оканчивает тактическую фазу и начинает битву.
	_6A6A2C
Combat Options	_6A5614
Вернуться в битву	{Вернуться в битву}

Выйти из настроек битвы.
Сбросить установки	{Сбросить установки}

Восстановить настройки битвы по умолчанию.
	Выключить музыку
	Установить громкость музыки на 1
	Установить громкость музыки на 2
	Установить громкость музыки на 3
	Установить громкость музыки на 4
	Установить громкость музыки на 5
	Установить громкость музыки на 6
	Установить громкость музыки на 7
	Установить громкость музыки на 8
	Установить громкость музыки на 9
	Выключить звуковые эффекты
	Установить громкость звуковых эффектов на 1
	Установить громкость звуковых эффектов на 2
	Установить громкость звуковых эффектов на 3
	Установить громкость звуковых эффектов на 4
	Установить громкость звуковых эффектов на 5
	Установить громкость звуковых эффектов на 6
	Установить громкость звуковых эффектов на 7
	Установить громкость звуковых эффектов на 8
	Установить громкость звуковых эффектов на 9
	MUSIC_TYPE_NONE_ID
	MUSIC_TYPE_CD_ID
	MUSIC_TYPE_MIDI_ID
	{Существа}

Передаёт контроль над юнитами компьютеру
	{Заклинания}

Во время автоматической битвы ваш герой будет творить заклинания
	{Катапульта}

При приближении к стенам противника, ваши катапульты будут сами выбирать свою цель. Если ваш баллистический навык достаточно высок, вы сможете сами управлять катапультой.

Во время автоматической битвы, если у вашего героя есть баллистический навык, эта опция передаёт управление компьютеру.
	{Атакующая боевая машина}

Во время битвы ваши атакующие боевые машины будут сами выбирать свою цель. Если ваш артиллерийский навык достаточно высок, вы сможете управлять атакующей боевой машиной.

Во время автоматической битвы, если у вашего героя есть артиллерийский навык, управление атакующими боевыми машинами передаётся компьютеру.
	{Палатка Первой Помощи}

Во время битвы, ваша Палатка Первой Помощи будет сама определять нуждающихся в помощи. Если ваши навыки первой помощи достаточно высоки, вы сможете сами выбирать пациентов.

Во время автоматической битвы, если у вашего героя есть навык первой помощи, эта опция передаёт управление компьютеру.
	Установить скорость анимации на "медленно"
	Установить скорость анимации на "нормально"
	Установить скорость анимации на "быстро"
	{Вся статистика}

Щелчок правой кнопки по юниту показывает всю статистику и все заклинания, действующие в настоящий момент.
	{Только заклинания}

Щелчок правой кнопки по юниту показывает все заклинания, действующие в настоящий момент.
	{Показать шестиугольную сетку}

Показывает шестиугольную сетку, наложенную на поле битвы.
	{Затенять ходы}

Затеняет участки на поле битвы, куда может переместиться герой.
	{Затенять курсор}

Затенять шестиугольник, находящийся в данный момент под курсором.
	{Анимированная Книга Заклинаний}

В Книге Заклинаний будут переворачиваться странички.
	_6A574C
View Army	_6A74C4
Имя Существа	Имя Существа
Количество Существ	Количество Существ
Навык Атаки	Навык Атаки
Навык Защиты	Навык Защиты
Осталось Выстрелов	Количество оставшихся выстрелов
Урон при Атаке	Урон при Атаке
Единицы здоровья	Единицы здоровья
Оставшиеся единицы здоровья	Оставшиеся единицы здоровья
Скорость	Скорость
Боевой Дух	Боевой Дух
Удача	Удача
Заклинания, воздействующие на войско	Заклятия, воздействующие на армию
Уволить Существо	{Уволить Существо}

Уволить выделенное существо из армии
Улучшить	{Улучшить Существо}

Улучшает выделенное существ
Ок	{Ок}

Вернуться в предыдущее окно
	_6A753C
Spell Book	_6A533C
Предыдущая Страница	Перейти к предыдущей странице
Следующая Страница	Перейти к следующей странице
Глобальные Заклинания	Перейти к странице заклинаний карты приключений
Боевые Заклинания	Перейти к странице заклинаний битвы
Заклинания Воздуха	Перейти к странице заклинаний воздуха
Заклинания Огня	Перейти к странице заклинаний огня
Заклинания Воды	Перейти к странице заклинаний воды
Заклинания Земли	Перейти к странице заклинаний земли
Все Заклинания	Показать все школы заклинаний
Мана	Оставшаяся Мана героя
Выход	Закрыть Книгу Заклинаний
	_6A5394
CampaignBrief	_6A5A34
	
	CAMPAIGN_NAME
	CAMPAIGN_DESCRIPTION
	MAP_NAME
	MAP_DESCRIPTION
	HERO_FACE
Сменить Героя	Щёлкнув мышью, вы поменяете исходного героя
Сменить Героя	Щёлкнув мышью, вы поменяете исходного героя
Начать с Артефактом	Начать с артефактом
Начать с Золота	Начать с дополнительными золотыми
Начать с Ресурсами	Начать с дополнительными ресурсами
Переиграть	{Начать заново}

Начать кампанию заново
Посмотреть информацию о Кампании	{Посмотреть введение в кампанию}

Показать вступительную заставку к кампании
	Это ваш цвет
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших союзников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это цвет ваших противников
	Это размер карты, на которой вы собираетесь играть
	MAP_AREA_1
	MAP_AREA_2
	MAP_AREA_3
	MAP_AREA_4
	MAP_AREA_5
	MAP_AREA_6
	MAP_AREA_7
	MAP_AREA_8
	MAP_AREA_9
	MAP_AREA_10
	MAP_AREA_11
	MAP_AREA_12
	MAP_AREA_13
	MAP_AREA_14
	MAP_AREA_15
	MAP_AREA_16
	MAP_AREA_17
	MAP_AREA_18
	MAP_AREA_19
	MAP_AREA_20																						
	MAP_AREA_21																						
	MAP_AREA_22																						
	MAP_AREA_23																						
	MAP_AREA_24																						
	MAP_AREA_25																						
	MAP_AREA_26																						
	MAP_AREA_27																						
	MAP_AREA_28																						
	MAP_AREA_29																						
	MAP_AREA_30																						
	MAP_AREA_31																						
	MAP_AREA_32																						
	_6A5C24
Main Menu	_6A5FEC
НОВАЯ ИГРА	{Новая Игра}

Открыть меню, через которое можно начать новый сценарий, кампанию или обучающую игру.
ЗАГРУЗИТЬ ИГРУ	{Загрузить Игру}

Загрузить ранее сохранённый сценарий, кампанию или сетевую игру.
ТАБЛИЦА РЕКОРДОВ	{Таблица Рекордов}

Просмотр достижений игроков, как в одиночных сценариях, так и в игровых кампаниях.
СОЗДАТЕЛИ	{Создатели}

Просмотреть информацию об авторах Героев III и разработчиков модификации ERA PLUS.
ВЫЙТИ ИЗ ИГРЫ	{Выйти из Игры}

Вернуться в Windows.
(покинуть игру)
СПРАВКА ERA PLUS	{Справка ERA PLUS}

Открыть информационное окно о модификации ERA PLUS (не завершено, поэтому много отсутствующиего текста).
УСТАНОВКИ ИГРЫ	{Установки Игры}

Позволяет просматривать и менять текущие настройки игры.
WOG-ОПЦИИ	{WoG-Опции}

Открыть меню опций дополнения ""Во Имя Богов"", меняющих или дополняющих те или иные аспекты игры.
ВИДЕОРОЛИКИ	{Видеоролики}

Посмотр стартовых заставок базовой игры ""Возрождение Эрафии"" и дополнения ""Клинок Армагеддона"".
	CAMPAIGN_9
	CAMPAIGN_10
	CAMPAIGN_11
	CAMPAIGN_12
	CAMPAIGN_13
	CAMPAIGN_14
	CAMPAIGN_15
	CAMPAIGN_16
	CAMPAIGN_17			
	CAMPAIGN_18
	CAMPAIGN_19									
	CAMPAIGN_20
	
	
	ROLLOVER
	_6A60AC
Recruit	_6A75C4
Максимум	
Нанять	
Отмена	
	_6A75DC
Multiplayer	_6A77BC
Галочка	Включить/выключить имя	
Ввести имя игрока	Ввести имя игрока
Ок	
Назад	
Ввести имя сессии	
Ввести пароль	
Имя Сессии	
Ввести IP-адрес	
	_6A77FC
Sacrifice Window	_6A66A4
Выход (без жертв).	Покинуть Алтарь. Все предметы, находящиеся на Алтаре, вернутся к вам.
Держать артефакт	
Положить все артефакты из рюкзака на Алтарь	Положить все артефакты из рюкзака на Алтарь
Положить все артефакты на Алтарь	Положить все артефакты и снаряжение из рюкзака на Алтарь
Принести в жертву существ	Переключиться на экран приношения существ в жертву. Доступно только злым и нейтральным героям.
Количество существ/Уровень опыта	
Выбранные существа	
Количество существ/Уровень опыта	
Количество существ для жертвоприношения	
Установить количество существ для жертвоприношения	
Принести в жертву максимальное количество существ	Принести в жертву максимальное количество существ
Принести всех существ из армии героя в жертву	Принести в жертву всех до одного
Принести в жертву артефакты	Переключиться на экран приношения артефактов в жертву. Доступно только добрым и нейтральным героям.
Количество артефактов/Уровень опыта	
Положить артефакт для жертвоприношения здесь	
Уровень опыта за артефакт	
Принести в жертву артефакты	Принести в жертву всё, что находится на Алтаре, и получить опыт
Принести в жертву существа	Принести в жертву всё, что находится на Алтаре, и получить опыт
	Порыться в рюкзаке
	Порыться в рюкзаке
	_6A6744
Skeleton Transformer	_6A783C
Поместить всех существ в преобразователь	Поместить всех существ в преобразователь
Оживить создания в преобразователе	Оживить создания в преобразователе
