Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
15	f	S	0	0	0	0	0	1	1	1	1	1	1	Капитан Кентавров>Стрелок
15	O	+	0	0	0	0	0	1	1	1	2	2	3	Капитан Кентавров>+3 к выстрелам
15	f	E	0	0	0	0	0	0	0	0	0	0	1	Капитан Кентавров>Нет штрафа в рукопашной
15	h	#84	0	1	2	3	4	5	6	7	8	9	10	Капитан Кентавров>+100% урона Гоблинам
15	h	#85	0	1	2	3	4	5	6	7	8	9	10	Капитан Кентавров>+100% урона Хобгоблинам
16	W	=	20	21	22	23	24	25	26	27	28	29	30	Гном------------->+10 к гномьему сопротивлению
16	s	#27	0	0	0	0	0	1	1	1	1	1	2	Гном------------->Зачарован: Щит
16	h	#98	0	1	2	3	4	5	6	7	8	9	10	Гном------------->+100% урона Гноллам
17	W	=	40	42	44	46	48	50	52	54	56	58	60	Боевой Гном------>+20 к гномьему сопротивлению
17	s	#27	0	0	0	0	0	1	1	1	1	1	2	Боевой Гном------>Зачарован: Щит
17	h	#98	0	1	2	3	4	5	6	7	8	9	10	Боевой Гном------>+100% урона Гноллам
17	h	#99	0	1	2	3	4	5	6	7	8	9	10	Боевой Гном------>+100% урона Гноллам-Мародёрам
18	s	#44	0	0	0	0	0	1	1	1	1	1	2	Эльф------------->Зачарован: Точность
18	i	=	0	0	0	0	0	0	0	0	0	0	1	Эльф------------->Нет штрафа за расстояние
18	h	#88	0	1	2	3	4	5	6	7	8	9	10	Эльф------------->+100% урона Оркам
19	s	#44	0	0	0	0	0	1	1	1	1	1	2	Благородный Эльф->Зачарован: Точность
19	i	=	0	0	0	0	0	0	0	0	0	0	1	Благородный Эльф->Нет штрафа за расстояние
19	h	#88	0	1	2	3	4	5	6	7	8	9	10	Благородный Эльф->+100% урона Оркам
19	h	#89	0	1	2	3	4	5	6	7	8	9	10	Благородный Эльф->+100% урона Вождям Орков
20	f	b	0	0	0	0	0	1	1	1	1	1	1	Пегас------------>Атака с возвращением
20	f	R	0	0	0	0	0	0	0	0	0	0	1	Пегас------------>Враг не отвечает на атаку
20	h	#34	0	1	2	3	4	5	6	7	8	9	10	Пегас------------>+100% урона Магам
21	f	b	0	0	0	0	0	1	1	1	1	1	1	Серебряный Пегас->Атака с возвращением
21	f	R	0	0	0	0	0	0	0	0	0	0	1	Серебряный Пегас->Враг не отвечает на атаку
21	h	#34	0	1	2	3	4	5	6	7	8	9	10	Серебряный Пегас->+100% урона Магам
21	h	#35	0	1	2	3	4	5	6	7	8	9	10	Серебряный Пегас->+100% урона Архимагам
22	r	#50	0	5	10	15	20	25	30	35	40	45	50	Дендроид--------->50% шанс регенерировать 50 здоровья
22	w	E	0	0	0	0	0	0	0	0	0	0	1	Дендроид--------->Иммунитет к Магии Земли
23	r	#75	0	5	10	15	20	25	30	35	40	45	50	Дендроид-Солдат-->75% шанс регенерировать 50 здоровья
23	w	E	0	0	0	0	0	0	0	0	0	0	1	Дендроид-Солдат-->Иммунитет к Магии Земли
24	E	%	20	25	30	35	40	45	50	55	60	65	70	Единорог--------->+50% к Ослеплению после удара
24	w	B	0	0	0	0	0	0	0	0	0	0	1	Единорог--------->Иммунитет к Ослеплению
25	E	%	20	25	30	35	40	45	50	55	60	65	70	Боевой Единорог-->+50% к Ослеплению после удара
25	w	B	0	0	0	0	0	0	0	0	0	0	1	Боевой Единорог-->Иммунитет к Ослеплению
26	K	#13	0	1	2	3	4	5	8	12	15	20	25	Зелёный Дракон--->25% шанс Огненной Стены
26	w	0	0	0	0	0	0	0	0	0	0	0	1	Зелёный Дракон--->Податливый
27	K	#13	0	2	4	6	8	10	16	24	30	40	50	Золотой Дракон--->50% шанс Огненной Стены
27	w	0	0	0	0	0	0	0	0	0	0	0	1	Золотой Дракон--->Податливый
28	J	#11	0	1	2	3	4	5	8	12	15	20	25	Гремлин---------->25% шанс атаки Минными Полями
28	h	#42	0	1	2	3	4	5	6	7	8	9	10	Гремлин---------->+100% урона Бесам
29	J	#11	0	5	10	15	20	25	30	35	40	45	50	Гремлин-Мастер--->50% шанс атаки Минными Полями
29	O	+	0	0	0	0	0	1	1	1	2	2	3	Гремлин-Мастер--->+3 к выстрелам
29	h	#42	0	1	2	3	4	5	6	7	8	9	10	Гремлин-Мастер--->+100% урона Бесам
29	h	#43	0	1	2	3	4	5	6	7	8	9	10	Гремлин-Мастер--->+100% урона Чертям
30	s	#46	0	0	0	0	0	1	1	1	1	1	2	Каменная Гаргулья>Зачарован: Каменная Кожа
30	w	E	0	0	0	0	0	0	0	0	0	0	1	Каменная Гаргулья>Иммунитет к Магии Земли
30	h	#72	0	1	2	3	4	5	6	7	8	9	10	Каменная Гаргулья>+100% урона Гарпиям
31	s	#46	0	0	0	0	0	1	1	1	1	1	2	Обсидиан.Гаргулья>Зачарован: Каменная Кожа
31	w	E	0	0	0	0	0	0	0	0	0	0	1	Обсидиан.Гаргулья>Иммунитет к Магии Земли
31	h	#72	0	1	2	3	4	5	6	7	8	9	10	Обсидиан.Гаргулья>+100% урона Гарпиям
31	h	#73	0	1	2	3	4	5	6	7	8	9	10	Обсидиан.Гаргулья>+100% урона Фуриям
32	g	=	50	51	52	53	54	55	56	57	58	59	60	Каменный Голем--->+10 к големскому сопротивлению
32	d	+	0	1	2	3	4	5	6	7	8	9	10	Каменный Голем--->+10 к бонусу защиты
33	g	=	70	72	74	76	78	80	82	84	86	88	90	Железный Голем--->+20 к големскому сопротивлению
33	d	+	0	2	4	6	8	10	12	14	16	18	20	Железный Голем--->+20 к бонусу защиты
34	p	#25	0	1	2	3	4	5	6	8	10	12	15	Маг-------------->15% шанс Эксторцизма
34	f	u	0	0	0	0	0	0	0	0	0	0	1	Маг-------------->Магическая аура
34	h	#20	0	1	2	3	4	5	6	7	8	9	10	Маг-------------->+100% урона Пегасам
35	p	#25	0	1	2	3	4	5	8	12	15	20	25	Архимаг---------->25% шанс Эксторцизма
35	f	u	0	0	0	0	0	0	0	0	0	0	1	Архимаг---------->Магическая аура
35	h	#20	0	1	2	3	4	5	6	7	8	9	10	Архимаг---------->+100% урона Пегасам
35	h	#21	0	1	2	3	4	5	6	7	8	9	10	Архимаг---------->+100% урона Серебряным Пегасам
36	g	=	0	4	8	12	16	20	24	28	32	36	40	Джинн------------>+40 к големскому сопротивлению
37	g	=	0	8	16	24	32	40	48	56	64	72	80	Верховный Джинн-->+80 к големскому сопротивлению
37	P	+	0	1	2	3	4	5	6	7	8	9	10	Верховный Джинн-->+10 к Количеству колдунств
38	e	=	0	1	2	3	4	5	8	12	15	18	20	Нага------------->20% шанс смертельного удара
38	R	+	0	0	0	0	0	1	1	1	1	1	2	Нага------------->+2 к контрударам
39	e	=	0	1	2	3	4	5	10	15	20	25	30	Королева Наг----->30% шанс смертельного удара
39	R	+	0	0	0	0	0	1	1	1	2	2	3	Королева Наг----->+3 к контрударам
40	w	A	0	0	0	0	0	1	1	1	1	1	1	Гигант----------->Иммунитет к Магии Воздуха
41	w	A	0	0	0	0	0	1	1	1	1	1	1	Титан------------>Иммунитет к Магии Воздуха
41	f	s	0	0	0	0	0	0	0	0	0	0	1	Титан------------>Стреляет всегда
42	f	F	0	0	0	0	0	1	1	1	1	1	1	Бес-------------->Полёт
42	h	#28	0	1	2	3	4	5	6	7	8	9	10	Бес-------------->+100% урона Гремлинам
43	f	F	0	0	0	0	0	1	1	1	1	1	1	Чёрт------------->Полёт
43	h	#28	0	1	2	3	4	5	6	7	8	9	10	Чёрт------------->+100% урона Гремлинам
43	h	#29	0	1	2	3	4	5	6	7	8	9	10	Чёрт------------->+100% урона Гремлинам-Мастерам
44	w	F	0	0	0	0	0	0	0	0	0	0	1	Гог-------------->Иммунитет к Магии Огня
44	h	#74	0	1	2	3	4	5	6	7	8	9	10	Гог-------------->+100% урона Созерцателям
45	p	#21	0	5	10	15	20	25	30	35	40	45	50	Магог------------>50% шанс Огненного Шара
45	w	F	0	0	0	0	0	0	0	0	0	0	1	Магог------------>Иммунитет к Магии Огня
45	h	#74	0	1	2	3	4	5	6	7	8	9	10	Магог------------>+100% урона Созерцателям
45	h	#75	0	1	2	3	4	5	6	7	8	9	10	Магог------------>+100% урона Злобоглазам
46	R	+	0	0	0	0	0	1	1	1	1	1	2	Адская Гончая---->+2 к контрударам
46	h	#4	0	1	2	3	4	5	6	7	8	9	10	Адская Гончая---->+100% урона Грифонам
47	R	+	0	0	0	0	0	1	1	1	2	2	3	Цербер----------->+3 к контрударам
47	h	#4	0	1	2	3	4	5	6	7	8	9	10	Цербер----------->+100% урона Грифонам
47	h	#5	0	1	2	3	4	5	6	7	8	9	10	Цербер----------->+100% урона Королевским Грифонам
48	b	=	0	2	4	6	8	10	12	14	16	18	20	Демон------------>Снижение защиты на 20%
48	h	#6	0	1	2	3	4	5	6	7	8	9	10	Демон------------>+100% урона Мечникам
49	b	=	0	3	6	9	12	15	18	21	24	27	30	Рогатый Демон---->Снижение защиты на 30%
49	h	#6	0	1	2	3	4	5	6	7	8	9	10	Рогатый Демон---->+100% урона Мечникам
49	h	#7	0	1	2	3	4	5	6	7	8	9	10	Рогатый Демон---->+100% урона Крестоносцам
50	u	#48	0	1	2	3	4	5	6	8	10	12	15	Отродье Пропасти->Призыв 15% Демонов со 2 раунда
50	h	#78	0	1	2	3	4	5	6	7	8	9	10	Отродье Пропасти->+100% урона Минотаврам
51	u	#49	0	1	2	3	4	5	8	12	15	20	25	Властит.Пропасти->Призыв 25% Рогатых Демонов со 2 раунда
51	P	+	0	0	0	0	0	1	1	1	2	2	3	Властит.Пропасти->+3 к количеству колдунств
51	h	#78	0	1	2	3	4	5	6	7	8	9	10	Властит.Пропасти->+100% урона Минотаврам
51	h	#79	0	1	2	3	4	5	6	7	8	9	10	Властит.Пропасти->+100% урона Королям Минотавров
52	w	0	0	0	0	0	0	1	1	1	1	1	1	Ифрит------------>Податливый
52	f	A	0	0	0	0	0	0	0	0	0	0	1	Ифрит------------>Атакует всех вокруг себя
53	w	0	0	0	0	0	0	1	1	1	1	1	1	Султан Ифритов--->Податливый
53	f	A	0	0	0	0	0	0	0	0	0	0	1	Султан Ифритов--->Атакует всех вокруг себя
54	K	#52	0	5	10	15	20	25	30	35	40	45	50	Дьявол----------->50% шанс Неудачи
54	w	m	0	0	0	0	0	0	0	0	0	0	1	Дьявол----------->Иммунитет к Магии Разума
55	K	#52	0	5	10	15	20	25	30	35	40	45	50	Архидьявол------->50% шанс Неудачи
55	w	m	0	0	0	0	0	0	0	0	0	0	1	Архидьявол------->Иммунитет к Магии Разума
56	s	#28	0	0	0	0	0	1	1	1	1	1	2	Скелет----------->Зачарован: Воздушный Щит
56	h	#118	0	1	2	3	4	5	6	7	8	9	10	Скелет----------->+100% урона Дриадам
57	s	#28	0	0	0	0	0	1	1	1	1	1	2	Скелет-Воин------>Зачарован: Воздушный Щит
57	h	#118	0	1	2	3	4	5	6	7	8	9	10	Скелет-Воин------>+100% урона Дриадам
57	h	#119	0	1	2	3	4	5	6	7	8	9	10	Скелет-Воин------>+100% урона Феям
58	w	1	0	0	0	0	0	1	1	1	1	1	1	Ходячий Мертвец-->Иммунитет к магии 1-го уровня
58	h	#0	0	1	2	3	4	5	6	7	8	9	10	Ходячий Мертвец-->+100% урона Копейщикам
59	w	1	0	0	0	0	0	1	1	1	1	1	1	Зомби------------>Иммунитет к магии 1-го уровня
59	E	%	40	45	50	55	60	65	70	75	80	85	90	Зомби------------>+50% к Болезни после удара
59	h	#0	0	1	2	3	4	5	6	7	8	9	10	Зомби------------>+100% урона Копейщикам
59	h	#1	0	1	2	3	4	5	6	7	8	9	10	Зомби------------>+100% урона Алебардщикам
60	l	=	0	1	2	3	4	5	6	7	8	9	10	Страж Могил------>Призыв 10% клонов со 2 раунда
61	l	=	0	2	4	6	8	10	12	14	16	18	20	Привидение------->Призыв 20% клонов со 2 раунда
62	a	#60	0	1	2	3	4	5	6	8	10	12	15	Вампир----------->15% шанс Гипноза
63	a	#60	0	1	2	3	4	5	8	12	15	20	25	Лорд Вампиров---->25% шанс Гипноза
64	p	#24	0	1	2	3	4	5	6	8	10	12	15	Лич-------------->15% шанс Волны Смерти
64	h	#8	0	1	2	3	4	5	6	7	8	9	10	Лич-------------->+100% урона Монахам
65	p	#24	0	1	2	3	4	5	8	12	15	20	25	Могущ.Лич-------->25% шанс Волны Смерти
65	h	#8	0	1	2	3	4	5	6	7	8	9	10	Могущ.Лич-------->+100% урона Монахам
65	h	#9	0	1	2	3	4	5	6	7	8	9	10	Могущ.Лич-------->+100% урона Фанатикам
66	E	%	40	45	50	55	60	65	70	75	80	85	90	Чёрный Рыцарь---->+50% к Проклятию после удара
66	F	=	0	0	0	0	0	0	0	0	0	0	1	Чёрный Рыцарь---->Устрашение
66	h	#10	0	1	2	3	4	5	6	7	8	9	10	Чёрный Рыцарь---->+100% урона Кавалеристам
67	E	%	40	45	50	55	60	65	70	75	80	85	90	Рыцарь Смерти---->+50% к Проклятию после удара
67	F	=	0	0	0	0	0	0	0	0	0	0	1	Рыцарь Смерти---->Устрашение
67	h	#10	0	1	2	3	4	5	6	7	8	9	10	Рыцарь Смерти---->+100% урона Кавалеристам
67	h	#11	0	1	2	3	4	5	6	7	8	9	10	Рыцарь Смерти---->+100% урона Чемпионам
68	u	#56	0	1	2	3	4	5	8	12	15	20	25	Костяной Дракон-->Призыв 25% Скелетов во 2 раунде
68	K	#50	0	5	10	15	20	25	30	35	40	45	50	Костяной Дракон-->50% шанс Печали
69	u	#57	0	2	4	6	8	10	16	24	30	40	50	Призрачный Дракон>Призыв 50% Скелетов-Войнов во 2 раунде
69	K	#50	0	5	10	15	20	25	30	35	40	45	50	Призрачный Дракон>50% шанс Печали
69	E	%	40	45	50	55	60	65	70	75	80	85	90	Призрачный Дракон>+50% к Старению после удара
70	R	+	0	0	0	0	0	1	1	1	1	1	2	Троглодит-------->+2 к контрударам
71	R	+	0	0	0	0	0	1	1	1	2	2	3	Троглодит-Охотник>+3 к контрударам
72	s	#49	0	0	0	0	0	1	1	1	1	1	2	Гарпия----------->Зачарован: Радость
72	h	#30	0	1	2	3	4	5	6	7	8	9	10	Гарпия----------->+100% урона Каменным Гаргульям
73	s	#49	0	0	0	0	0	1	1	1	1	1	2	Фурия------------>Зачарован: Радость
73	h	#30	0	1	2	3	4	5	6	7	8	9	10	Фурия------------>+100% урона Каменным Гаргульям
73	h	#31	0	1	2	3	4	5	6	7	8	9	10	Фурия------------>+100% урона Обсидиановым Гаргульям
74	p	#61	0	1	2	3	4	5	6	8	10	12	15	Созерцатель------>15% шанс Забывчивости
74	w	m	0	0	0	0	0	0	0	0	0	0	1	Созерцатель------>Иммунитет к Магии Разума
74	h	#44	0	1	2	3	4	5	6	7	8	9	10	Созерцатель------>+100% урона Гогам
75	p	#61	0	1	2	3	4	5	8	12	15	20	25	Злобоглаз-------->25% шанс Забывчивости
75	w	m	0	0	0	0	0	0	0	0	0	0	1	Злобоглаз-------->Иммунитет к Магии Разума
75	h	#44	0	1	2	3	4	5	6	7	8	9	10	Злобоглаз-------->+100% урона Гогам
75	h	#45	0	1	2	3	4	5	6	7	8	9	10	Злобоглаз-------->+100% урона Магогам
76	O	+	0	0	0	0	0	1	1	1	2	2	3	Медуза----------->+3 к выстрелам
76	h	#106	0	1	2	3	4	5	6	7	8	9	10	Медуза----------->+100% урона Василискам
77	O	+	0	0	1	1	2	2	3	3	4	4	5	Королева Медуз--->+5 к выстрелам
77	E	%	20	25	30	35	40	45	50	55	60	65	70	Королева Медуз--->+50% к Окаменению после удара
77	h	#106	0	1	2	3	4	5	6	7	8	9	10	Королева Медуз--->+100% урона Василискам
77	h	#107	0	1	2	3	4	5	6	7	8	9	10	Королева Медуз--->+100% урона Великим Василискам
78	B	=	0	1	2	3	4	5	8	12	15	20	25	Минотавр--------->25% шанс заблокировать 100% урона
78	e	=	0	0	1	1	2	2	3	3	4	4	5	Минотавр--------->5% шанс Смертельного Удара
78	h	#50	0	1	2	3	4	5	6	7	8	9	10	Минотавр--------->+100% урона Отродьям Пропасти
79	B	=	0	2	4	6	8	10	16	24	30	40	50	Король Минотавров>50% шанс заблокировать 100% урона
79	e	=	0	1	2	3	4	5	6	7	8	9	10	Король Минотавров>10% шанс Смертельного Удара
79	h	#50	0	1	2	3	4	5	6	7	8	9	10	Король Минотавров>+100% урона Отродьям Пропасти
79	h	#51	0	1	2	3	4	5	6	7	8	9	10	Король Минотавров>+100% урона Властителям Пропасти
80	a	#71	0	1	2	3	4	5	6	8	10	12	15	Мантикора-------->15% шанс Отравления
80	h	#108	0	1	2	3	4	5	6	7	8	9	10	Мантикора-------->+100% урона Вирвенам
81	a	#71	0	1	2	3	4	5	8	12	15	20	25	Скорпикора------->25% шанс Отравления
81	E	%	20	25	30	35	40	45	50	55	60	65	70	Скорпикора------->+50% к Параличу после удара
81	h	#108	0	1	2	3	4	5	6	7	8	9	10	Скорпикора------->+100% урона Вирвенам
81	h	#109	0	1	2	3	4	5	6	7	8	9	10	Скорпикора------->+100% урона Вирвенам-Монархам
82	F	=	0	0	0	0	0	1	1	1	1	1	1	Красный Дракон--->Устрашение
82	w	0	0	0	0	0	0	0	0	0	0	0	1	Красный Дракон--->Податливый
83	F	=	0	0	0	0	0	1	1	1	1	1	1	Чёрный Дракон---->Устрашение
83	w	0	0	0	0	0	0	0	0	0	0	0	1	Чёрный Дракон---->Податливый
84	f	D	0	0	0	0	0	0	0	0	0	0	1	Гоблин----------->Двойной удар
84	h	#14	0	1	2	3	4	5	6	7	8	9	10	Гоблин----------->+100% урона Кентаврам
85	f	D	0	0	0	0	0	0	0	0	0	0	1	Хобгоблин-------->Двойной удар
85	h	#14	0	1	2	3	4	5	6	7	8	9	10	Хобгоблин-------->+100% урона Кентаврам
85	h	#15	0	1	2	3	4	5	6	7	8	9	10	Хобгоблин-------->+100% урона Капитанам Кентавров
86	f	b	0	0	0	0	0	0	0	0	0	0	1	Наездник на Волке>Атака с возвращением
87	f	b	0	0	0	0	0	0	0	0	0	0	1	Налётчик--------->Атака с возвращением
88	O	+	0	0	1	1	2	2	3	3	4	4	5	Орк-------------->+5 к выстрелам
88	f	s	0	0	0	0	0	0	0	0	0	0	1	Орк-------------->Стреляет всегда
88	h	#18	0	1	2	3	4	5	6	7	8	9	10	Орк-------------->+100% урона Эльфам
89	O	+	0	0	1	1	2	2	3	3	4	4	5	Вождь Орков------>+5 к выстрелам
89	f	s	0	0	0	0	0	0	0	0	0	0	1	Вождь Орков------>Стреляет всегда
89	h	#18	0	1	2	3	4	5	6	7	8	9	10	Вождь Орков------>+100% урона Эльфам
89	h	#19	0	1	2	3	4	5	6	7	8	9	10	Вождь Орков------>+100% урона Благородным Эльфам
90	W	=	0	2	4	6	8	10	12	14	16	18	20	Огр-------------->+20 к гномьему сопротивлению
91	W	=	0	4	8	12	16	20	24	28	32	36	40	Шаман Огров------>+40 к гномьему сопротивлению
91	P	+	0	0	1	1	2	2	3	3	4	4	5	Шаман Огров------>+5 к количеству колдунств
92	w	L	0	0	0	0	0	0	0	0	0	0	1	Птица Рух-------->Иммунитет к электричеству
92	h	#102	0	1	2	3	4	5	6	7	8	9	10	Птица Рух-------->+100% урона Горгонам
93	w	L	0	0	0	0	0	0	0	0	0	0	1	Птица Грома------>Иммунитет к электричеству
93	E	%	20	25	30	35	40	45	50	55	60	65	70	Птица Грома------>+50% к Удару Грома после удара
93	h	#102	0	1	2	3	4	5	6	7	8	9	10	Птица Грома------>+100% урона Горгонам
93	h	#103	0	1	2	3	4	5	6	7	8	9	10	Птица Грома------>+100% урона Могучим Горгонам
94	p	#14	0	1	2	3	4	5	6	8	10	12	15	Циклоп----------->15% шанс Землетрясения
94	o	=	0	0	0	0	0	0	0	0	0	0	1	Циклоп----------->Нет штрафов преград
95	p	#14	0	1	2	3	4	5	8	12	15	20	25	Король Циклопов-->25% шанс Землетрясения
95	o	=	0	0	0	0	0	0	0	0	0	0	1	Король Циклопов-->Нет штрафов преград
96	w	S	0	0	0	0	0	1	1	1	1	1	1	Чудище----------->Иммунитет к Замедлению
96	f	f	0	0	0	0	0	0	0	0	0	0	1	Чудище----------->Бесстрашный
97	w	S	0	0	0	0	0	1	1	1	1	1	1	Древнее Чудище--->Иммунитет к Замедлению
97	f	f	0	0	0	0	0	0	0	0	0	0	1	Древнее Чудище--->Бесстрашный
98	d	+	0	1	2	3	4	5	6	8	10	12	15	Гнолл------------>+15 к бонусу защиты
