ПРЕПЯТСТВИЯ					ПОЧВА		МОДИФИКАТОРЫ ПОЧВЫ									СОСЕДСТВО																																																																																																																		ПЕРЕКРЫТИЕ																																																																																																																	
Имя	Id	Имя типа	Тип	Подтип	Имя	Id	грязь	песок	трава	снег	болото	скалы	пещеры	лава	вода	дубы	кратер	бревно	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	кактус	дюны	гора	sand tree	кости	яма	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	дубы	кратер	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	мертвечина	пруд льда	гора	овраг	пень	скала	кусты	сосны	snow crystal mine	snow gold mine	snow sawmill	мертвечина	озеро	мандрагора	гора	скала	кусты	дубы	swamp tree	мох	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	скала	кратер	холм	гора	овраг	rough tree	кусты	кости	пень	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	кратер	мертвечина	грибы	озеро	озеро	потоки	гора	овраг	скала	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	кратер	озеро	потоки	гора	lava volcano	lava crystal mine	lava gold mine	lava sawmill	скала	water reef	руины	руины	гейзер	гейзер	стена	статуя	озеро	грибы	холм	плотояд	груз	дубы	кратер	бревно	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	кактус	дюны	гора	sand tree	кости	яма	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	дубы	кратер	цеты	озеро	холм	гора	овраг	сосны	скала	кусты	пень	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	мертвечина	пруд льда	гора	овраг	пень	скала	кусты	сосны	snow crystal mine	snow gold mine	snow sawmill	мертвечина	озеро	мандрагора	гора	скала	кусты	дубы	swamp tree	мох	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	скала	кратер	холм	гора	овраг	rough tree	кусты	кости	пень	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	кратер	мертвечина	грибы	озеро	озеро	потоки	гора	овраг	скала	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	кратер	лава	потоки	гора	lava volcano	lava crystal mine	lava gold mine	lava sawmill	скала	water reef	руины	руины	гейзер	гейзер	стена	статуя	озеро	грибы	холм	плотояд	груз
Скала	10	скала	147	0	грязь	0	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	30	5	10	30	10	10	10	10	30	30	10	10	10	-5000	-5000	10	-5000	10	10	-5000	-5000	10	10	10	10	5	5	10	10	10	10	10	5	5	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	30	30	30	5	30	30	10	10	10	10	30	30	30	30	10	10	10	10	10	10	10	10	10	10	10	30	10	10	-5000	-5000	-5000	-5000	-5000	-5000	10	30	-5000	10	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	-5000	-5000	-5000	10	0	0	10	0	0	0	0	10	10	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	0	0	-5000	0	0	0	-5000	0	0	-5000	-5000	0	0	-5000	10	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	-5000	-5000	0	-5000	-5000	-5000	-5000	0	0	0	-5000	0	0	0	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
Кусты	11	кусты	150	0	грязь	0	10	-5000	5	-5000	0	5	-5000	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	30	5	5	10	-5000	-5000	5	-5000	-5000	-5000	10	5	5	-5000	10	5	-10	5	5	5	5	10	5	-10	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	-10	5	5	-10	5	5	-10	-10	5	5	10	5	5	5	5	5	10	-10	-5000	5	10	5	5	10	5	-5000	-5000	5	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	10	10	5	5	5	5	5	5	5	-5000	5	-10	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Пень	12	пень	153	0	грязь	0	5	-5000	5	-5000	5	5	-5000	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	-5000	10	30	5	5	30	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	10	5	5	5	10	10	5	5	30	10	5	5	5	5	5	5	10	5	5	10	10	5	5	5	5	5	10	10	5	5	5	5	30	5	5	5	5	5	10	5	5	5	5	5	5	30	5	10	5	5	5	5	5	5	5	5	5	5	30	5	5	5	5	5	5	5	30	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt tree	13	tree	155	0	dirt	0	10	-5000	10	-10	0	5	-5000	-5000	-5000	30	10	10	30	30	10	10	10	30	10	30	30	30	30	10	10	30	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	30	30	30	10	10	30	10	30	-5000	10	10	-5000	30	30	30	10	10	30	30	-5000	30	30	10	10	30	10	10	10	10	10	30	30	10	30	-5000	10	10	30	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	10	10	30	10	10	10	10	10	10	10	10	30	-5000	10	30	10	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	0	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt dirt veg clump	14	dirt veg clump	207	0	dirt	0	10	-10	10	-5000	5	-10	-5000	-5000	-5000	30	10	10	30	30	10	10	10	30	10	30	30	30	30	10	10	30	10	-5000	10	-5000	10	10	-5000	10	10	-5000	30	10	30	30	10	10	10	30	10	30	30	30	30	10	10	30	-5000	30	10	10	30	10	30	-5000	10	10	-5000	-5000	30	30	10	10	30	30	30	30	30	10	10	30	10	10	10	10	10	30	30	10	30	-5000	10	10	30	10	-5000	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	10	10	30	10	10	10	10	10	10	10	10	30	-5000	10	30	10	10	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	10	30	30	10	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	10	10	-5000	0	30	30	10	-5000	-5000	-5000	30	-5000	10	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt crystal mine	15	mine	53	4	dirt	0	10	5	0	-10	-10	5	5	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
dirt gold mine	16	mine	53	6	dirt	0	10	5	0	-10	-10	5	5	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
dirt sawmill	17	mine	53	0	dirt	0	10	-5000	10	0	0	0	-5000	-5000	-5000	100	10	30	30	30	10	10	10	30	10	30	30	30	30	10	10	100	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	100	30	30	10	10	30	10	30	-5000	10	10	-5000	30	30	30	10	10	30	30	-5000	30	30	10	10	100	10	10	10	10	10	30	30	10	30	-5000	10	10	100	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	10	10	30	10	10	10	10	10	10	10	10	30	-5000	10	30	10	30	-5000	-5000	0	-5000	0	30	0	10	0	0	-5000	0	10	30	30	30	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	30	0	10	0	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	-5000	30	30	30	0	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000
Кактус	18	кактус	116	0	песок	1	-5000	5	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	10	5	5	-5000	5	5	5	5	5	5	5	5	5	5	-5000	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	5	-5000	5	5	5	5	-5000	-5000	5	5	-5000	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	5	5	5	5	5	-5000	-5000	5	5	5	5	5	-5000	5	5	5	-5000	-5000	-5000	5	5	5	5	5	5	5	5	-5000	-5000	5	-5000	5	5	5	10	10	5	5	-5000	5	5	5	-5000	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Дюны	19	дюны	148	0	песок	1	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	10	10	10	-5000	10	-5000	10	-5000	-5000	10	10	-5000	5	5	5	5	5	5	10	5	5	5	-5000	5	-5000	-5000	-10	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	-10	5	5	-5000	-5000	5	5	-5000	5	5	-5000	5	5	5	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	10	10	10	10	10	10	5	5	10	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Гора	20	гора	134	0	песок	1	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
sand tree	21	tree	155	0	sand	1	-5000	5	5	-5000	10	-5000	-5000	-5000	-5000	-5000	5	5	-10	5	5	5	5	-5000	5	-10	5	-5000	-5000	5	5	-5000	-5000	5	5	5	5	5	-5000	5	5	5	-5000	5	10	10	5	5	5	-5000	5	10	5	30	30	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	30	10	10	30	-5000	30	30	30	10	10	-5000	10	5	5	5	5	-5000	10	5	5	-5000	5	5	-5000	5	10	-5000	10	-5000	-5000	5	5	5	-5000	5	5	10	5	-5000	-5000	-5000	-5000	5	5	-5000	10	10	5	5	5	5	5	5	10	-5000	5	30	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Кости	22	кости	151	0	песок	1	5	5	5	5	5	5	5	5	-5000	5	5	5	-5000	5	5	5	5	-5000	5	-5000	5	-5000	10	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	10	5	5	5	5	5	5	5	5	10	10	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Яма	23	яма	149	0	песок	1	-5000	5	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	10	10	-5000	-5000	10	10	10	-5000	10	-5000	10	-5000	10	10	10	-5000	5	5	5	5	5	5	5	5	5	5	-5000	5	-5000	-5000	-10	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	-10	5	5	-5000	-5000	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	10	10	10	10	10	5	5	10	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand desert veg clump	24	desert veg clump	206	0	sand	1	-5000	5	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	5	5	10	-5000	5	5	5	-5000	5	10	5	-5000	-5000	5	5	-5000	5	10	5	-5000	5	5	10	5	5	10	-5000	5	10	-5000	5	5	5	-5000	5	10	5	-5000	-5000	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	5	5	10	-5000	-5000	10	10	5	5	-5000	10	5	5	5	5	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	10	10	5	5	5	5	5	5	-5000	-5000	5	10	5	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand crystal mine	25	mine	53	4	sand	1	0	10	-5000	-10	-5000	0	0	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
sand gold mine	26	mine	53	6	sand	1	0	10	-5000	-10	-5000	0	0	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
