													Combat Value (count*AI_value/38)															
	3	25%	65	стражи	0%	35	15	8	0	0	0	391	0	0	0	0	0	0	3800	0		1	0	0	0			
	4	25%	80	вампиры	0%	45	20	10	0	0	0	498	0	0	0	0	0	0	3800	0		2	0	0	0			
Утопия Драконов	1	30%	4	зел.др.	0%	3	2	1	0	0	0	2183	0	0	0	0	0	0	20000	0		1	1	1	0			
	2	30%	8	кр.др.	0%	6	4	2	0	0	0	4366	0	0	0	0	0	0	40000	0		0	1	1	1			
	3	30%	12	зол.др.	0%	9	6	3	0	0	0	6549	0	0	0	0	0	0	60000	0		0	0	1	2			
	4	10%	16	чёр.др.	0%	12	8	4	0	0	0	8733	0	0	0	0	0	0	80000	0		0	0	0	3			
Охотничья Сторожка	1	25%	3	энты	0%	7	3	7	0	0	0	200	16	0	0	0	0	0	0	0		0	0	0	0			
	2	25%	5	эльфы	0%	11	4	10	0	0	0	300	24	0	0	0	0	0	0	0		0	0	0	0			
	3	25%	6	энты	0%	14	6	14	0	0	0	400	32	0	0	0	0	0	0	0		0	0	0	0			
	4	25%	8	эльфы	0%	18	7	17	0	0	0	500	40	0	0	0	0	0	0	0		0	0	0	0			
Заснеженный Грот	1	25%	7	големы	0%	37	7	36	0	0	0	200	0	0	16	0	0	0	0	0		0	0	0	0			
	2	25%	11	гремлин	0%	55	10	55	0	0	0	300	0	0	24	0	0	0	0	0		0	0	0	0			
	3	25%	14	големы	0%	73	14	73	0	0	0	400	0	0	32	0	0	0	0	0		0	0	0	0			
	4	25%	18	гремлин	0%	92	17	91	0	0	0	500	0	0	40	0	0	0	0	0		0	0	0	0			
Дворец Духа Войны	1	30%	10	огн.эл.	0%	10	10	10	1	1	1	825	0	0	0	0	0	0	0	1	бог_1	0	0	0	0			
	2	30%	15	огн.пт.	0%	15	15	15	1	1	1	1033	0	0	0	0	0	0	0	1		0	0	0	0			
	3	30%	20		0%	20	20	20	1	1	1	1241	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	25		0%	25	25	25	1	1	1	1449	0	0	0	0	0	0	0	1		0	0	0	0			
Храм Миротворчества	1	30%	8	огры	0%	8	8	8	1	1	1	795	0	0	0	0	0	0	0	1	бог_2	0	0	0	0			
	2	30%	12	чудища	0%	12	12	12	1	1	1	1031	0	0	0	0	0	0	0	1		0	0	0	0			
	3	30%	16		0%	16	16	16	1	1	1	1266	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	20		0%	20	20	20	1	1	1	1501	0	0	0	0	0	0	0	1		0	0	0	0			
Монастырь Чародеев	1	30%	6	маги	0%	6	6	6	1	1	1	898	0	0	0	0	0	0	0	1	бог_3	0	0	0	0			
	2	30%	9	гиганты	0%	9	9	9	1	1	1	1079	0	0	0	0	0	0	0	1		0	0	0	0			
	3	30%	12		0%	12	12	12	1	1	1	1261	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	15		0%	15	15	15	1	1	1	1442	0	0	0	0	0	0	0	1		0	0	0	0			
Библиотека Ведьм	1	30%	5	жрицы	0%	5	5	5	1	1	1	873	0	0	0	0	0	0	0	1	бог_4	0	0	0	0			
	2	30%	7	м.змеи	0%	7	7	7	1	1	1	1071	0	0	0	0	0	0	0	1		0	0	0	0			
	3	30%	9		0%	9	9	9	1	1	1	1269	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	11		0%	11	11	11	1	1	1	1467	0	0	0	0	0	0	0	1		0	0	0	0			
Трансильванская Таверна	1	25%	90	с.войны	0%	35	0	0	0	0	0	298	0	3	0	3	3	3	0	0		0	0	0	0			
	2	25%	90	зомби	0%	35	15	0	0	0	0	403	0	4	0	4	4	4	0	0		0	0	0	0			
	3	25%	90	привид.	0%	35	15	6	0	0	0	510	0	5	0	5	5	5	0	0		0	0	0	0			
	4	25%	105	лорды	0%	45	20	6	0	0	0	613	0	6	0	6	6	6	0	0		0	0	0	0			
Дом Летучей Мыши	1	25%	25	вампиры	0%	0	0	0	0	0	0	298	0	0	0	0	0	0	0	8	лорды	0	0	0	0			
	2	25%	35		0%	0	0	0	0	0	0	417	0	0	0	0	0	0	0	12		0	0	0	0			
	3	25%	45		0%	0	0	0	0	0	0	536	0	0	0	0	0	0	0	16		0	0	0	0			
	4	25%	55		0%	0	0	0	0	0	0	655	0	0	0	0	0	0	0	20		0	0	0	0			
Вместилище Джиннов	1	25%	15	джинны	0%	0	0	0	0	0	0	304	0	0	0	0	0	0	0	6	верхов.	0	0	0	0			
	2	25%	22		0%	0	0	0	0	0	0	447	0	0	0	0	0	0	0	9	джинны	0	0	0	0			
	3	25%	29		0%	0	0	0	0	0	0	589	0	0	0	0	0	0	0	12		0	0	0	0			
	4	25%	36		0%	0	0	0	0	0	0	731	0	0	0	0	0	0	0	15		0	0	0	0			
Скальный Грот	1	25%	53	гарпии	50%	0	0	0	0	0	0	196	8	0	8	0	0	0	0	0		0	0	0	0			
	2	25%	80		50%	0	0	0	0	0	0	296	12	0	12	0	0	0	0	0		0	0	0	0			
	3	25%	107		50%	0	0	0	0	0	0	397	16	0	16	0	0	0	0	0		0	0	0	0			
	4	25%	134		50%	0	0	0	0	0	0	497	20	0	20	0	0	0	0	0		0	0	0	0			
Святилище Созерцателей	1	25%	27	созерц.	50%	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0		0	1	0	0			
	2	25%	41		50%	0	0	0	0	0	0	345	0	0	0	0	0	0	1625	0		0	1	0	0			
	3	25%	55		50%	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0		0	0	1	0			
	4	25%	69		90%	0	0	0	0	0	0	581	0	0	0	0	0	0	1625	0		0	0	1	0			
Храм Моря	1	30%	5	м.змеи	0%	4	2	2	0	0	0	2174	0	0	0	0	0	0	10000	0		2	1	0	1			
	2	30%	7	гидры	0%	6	3	3	0	0	0	3198	0	0	0	0	0	0	20000	0		1	1	1	1			
	3	30%	9	аспиды	0%	8	4	4	0	0	0	4221	0	0	0	0	0	0	30000	0		0	1	2	1			
	4	10%	11	г.хаоса	0%	10	6	6	0	0	0	5731	0	0	0	0	0	0	40000	0		0	0	2	2			
Пиратская Пещера	1	30%	27	пираты	50%	0	0	0	0	0	0	255	0	0	0	0	0	0	0	1	морские	0	0	0	0			
	2	30%	54		50%	0	0	0	0	0	0	511	0	0	0	0	0	0	0	2	змеи	0	0	0	0			
	3	30%	81		50%	0	0	0	0	0	0	767	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	108		50%	0	0	0	0	0	0	1023	0	0	0	0	0	0	0	4		0	0	0	0			
Особняк	1	30%	35	лорды	0%	0	0	0	0	0	0	627	0	4	0	4	4	4	1400	0		1	0	0	0			
	2	30%	50	вампиры	0%	0	0	0	0	0	0	896	0	6	0	6	6	6	2100	0		1	0	0	0			
	3	30%	65		0%	0	0	0	0	0	0	1164	0	8	0	8	8	8	2800	0		1	0	0	0			
	4	10%	80		0%	0	0	0	0	0	0	1433	0	10	0	10	10	10	3500	0		1	0	0	0			
Вертеп	1	25%	4	василис	50%	4	4	4	0	0	0	205	0	0	0	0	0	0	2800	0		0	0	0	0			
	2	25%	6		50%	6	6	6	0	0	0	308	0	0	0	0	0	0	4200	0		0	0	0	0			
	3	25%	8		50%	8	8	8	0	0	0	411	0	0	0	0	0	0	5600	0		0	0	0	0			
	4	25%	10		50%	10	10	10	0	0	0	514	0	0	0	0	0	0	7000	0		0	0	0	0			
Алая Башня	1	30%	25	огненые	50%	0	0	0	0	0	0	260	0	0	0	0	0	0	0	1	жар-	0	0	0	0			
	2	30%	50		50%	0	0	0	0	0	0	520	0	0	0	0	0	0	0	2	птицы	0	0	0	0			
	3	30%	75		50%	0	0	0	0	0	0	780	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	100		50%	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	4		0	0	0	0			
Чёрная Башня	1	100%	0	чёр.др.	0%	1	0	0	0	0	0	359	0	0	0	0	0	0	1775	0		0	1	0	0			
	2	0%	0		0%	1	0	0	0	0	0	0	0	0	0	0	0	0	1775	0		0	1	0	0			
	3	0%	0		0%	1	0	0	0	0	0	0	0	0	0	0	0	0	1775	0		0	1	0	0			
	4	0%	0		0%	1	0	0	0	0	0	0	0	0	0	0	0	0	1775	0		0	1	0	0			
Башня из Слоновой Кости	1	25%	18	маги	50%	0	0	0	0	0	0	272	0	0	0	0	0	0	0	4	чародеи	0	0	0	0			
	2	25%	27		50%	0	0	0	0	0	0	408	0	0	0	0	0	0	0	6		0	0	0	0			
	3	25%	36		50%	0	0	0	0	0	0	544	0	0	0	0	0	0	0	8		0	0	0	0			
	4	25%	45		50%	0	0	0	0	0	0	680	0	0	0	0	0	0	0	10		0	0	0	0			
Погост	1	100%	120	ходячие	100%	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0		1	1	0	0			
	2	0%	120		100%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	0	0			
	3	0%	120		100%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	0	0			
	4	0%	120		100%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	0	0			
Опытный Цех	1	30%	35	железн.	0%	0	0	0	0	0	0	369	0	0	0	0	0	0	0	1	гиганты	0	0	0	0			
	2	30%	70		0%	0	0	0	0	0	0	738	0	0	0	0	0	0	0	2		0	0	0	0			
	3	30%	105		0%	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	140		0%	0	0	0	0	0	0	1477	0	0	0	0	0	0	0	4		0	0	0	0			
Застава Налётчиков	1	30%	100	налётч.	0%	0	0	0	0	0	0	402	0	0	0	0	0	0	0	4	циклопы	0	0	0	0			
	2	30%	150		0%	0	0	0	0	0	0	603	0	0	0	0	0	0	0	6		0	0	0	0			
	3	30%	200		0%	0	0	0	0	0	0	804	0	0	0	0	0	0	0	8		0	0	0	0			
	4	10%	250		0%	0	0	0	0	0	0	1006	0	0	0	0	0	0	0	10		0	0	0	0			
Обитель Зла	1	40%	8	костяные др.	0%	4	1	1	0	0	0	4941	0	0	0	0	0	0	40000	0		1	1	1	1			
	2	30%	16	призрачные др.	0%	8	2	1	0	0	0	7626	0	0	0	0	0	0	80000	0		0	1	1	2			
	3	20%	24	кровавые др.	0%	12	3	1	0	0	0	10312	0	0	0	0	0	0	120000	0		0	0	1	3			
	4	10%	32	драколичи	0%	16	4	1	0	0	0	12997	0	0	0	0	0	0	160000	0		0	0	0	4			
Город Мёртвых	1	30%	100	скараб.	0%	20	100	20	0	0	0	449	0	0	0	0	0	0	0	1	слуги	0	0	0	0			
	2	30%	150	мумии	0%	45	150	45	0	0	0	912	0	0	0	0	0	0	0	2	анубиса	0	0	0	0			
	3	30%	200	скараб.	0%	70	200	70	0	0	0	1375	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	250	мумии	0%	95	250	95	0	0	0	1839	0	0	0	0	0	0	0	4		0	0	0	0			
Залы Искушений	1	30%	25	лилит	50%	0	0	0	0	0	0	303	0	0	0	0	0	0	0	1	дьяволы	0	0	0	0			
	2	30%	50		50%	0	0	0	0	0	0	606	0	0	0	0	0	0	0	2		0	0	0	0			
	3	30%	75		50%	0	0	0	0	0	0	909	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	100		50%	0	0	0	0	0	0	1212	0	0	0	0	0	0	0	4		0	0	0	0			
Корабль-Призрак	1	25%	21	духи	0%	21	21	21	21	21	21	197	0	0	0	0	0	0	0	14	привид.	0	0	0	0			
	2	25%	31		0%	31	31	31	31	31	31	291	0	0	0	0	0	0	0	21		0	0	0	0			
	3	25%	42		0%	42	42	42	42	42	42	394	0	0	0	0	0	0	0	28		0	0	0	0			
	4	25%	52		0%	52	52	52	52	52	52	488	0	0	0	0	0	0	0	35		0	0	0	0			
Усыпальница	1	30%	11	личи	50%	0	0	0	0	0	0	253	0	0	0	0	0	0	0	1	костян.	0	0	0	0			
	2	30%	22		50%	0	0	0	0	0	0	507	0	0	0	0	0	0	0	2	драконы	0	0	0	0			
	3	30%	33		50%	0	0	0	0	0	0	760	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	44		50%	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	4		0	0	0	0			
Схрон	1	30%	100	ассасин	0%	0	0	0	0	0	0	371	0	0	0	0	0	0	3500	0		1	0	0	0			
	2	30%	150		0%	0	0	0	0	0	0	556	0	0	0	0	0	0	4500	0		0	1	0	0			
	3	30%	200		0%	0	0	0	0	0	0	742	0	0	0	0	0	0	3800	0		0	0	1	0			
	4	10%	250		0%	0	0	0	0	0	0	927	0	0	0	0	0	0	0	0		0	0	0	1			
Рухнувший Звездолёт	1	30%	27	кибер	0%	50	27	50	0	0	0	569	0	0	0	0	0	0	0	4	танки	0	0	0	0			
	2	30%	40	пехота	0%	75	40	75	0	0	0	868	0	0	0	0	0	0	0	6		0	0	0	0			
	3	30%	53	кибер	0%	100	53	100	0	0	0	1129	0	0	0	0	0	0	0	8		0	0	0	0			
	4	10%	66	пехота	0%	125	66	125	0	0	0	1408	0	0	0	0	0	0	0	10		0	0	0	0			
Донная Печь	1	25%	22	огнемёт	50%	0	0	0	0	0	0	186	0	0	0	0	0	0	0	4	ифриты	0	0	0	0			
	2	25%	33		50%	0	0	0	0	0	0	279	0	0	0	0	0	0	0	6		0	0	0	0			
	3	25%	44		50%	0	0	0	0	0	0	372	0	0	0	0	0	0	0	8		0	0	0	0			
	4	25%	55		50%	0	0	0	0	0	0	466	0	0	0	0	0	0	0	10		0	0	0	0			
Храм Древних	1	30%	11	ламасу	50%	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0		0	3	0	0			
	2	30%	15		50%	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0		0	2	1	0			
	3	30%	19		50%	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0		0	1	2	0			
	4	10%	23		50%	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0		0	0	3	0			
Катакомбы	1	40%	156	инферно	0%	60	27	15	12	6	3	-1	0	0	0	0	0	0	0	1	серафим	0	0	0	0			
	2	30%	78		0%	30	54	30	12	6	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	3	20%	78		0%	30	27	15	24	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	78		0%	30	27	15	12	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	90	некрос	0%	48	21	12	9	6	3	-1	0	0	0	0	0	0	0	1	изумруд	0	0	0	0			
	2	30%	45		0%	24	42	24	9	6	3	-1	0	0	0	0	0	0	0	1	дракон	0	0	0	0			
	3	20%	45		0%	24	21	12	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	45		0%	24	21	12	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	126	темница	0%	54	21	12	9	6	3	-1	0	0	0	0	0	0	0	1	атлант	0	0	0	0			
	2	30%	63		0%	27	42	24	9	6	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	3	20%	63		0%	27	21	12	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	63		0%	27	21	12	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	90	замок	0%	60	33	15	9	6	3	-1	0	0	0	0	0	0	0	1	антихри	0	0	0	0			
	2	30%	45		0%	30	66	30	9	6	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	3	20%	45		0%	30	33	15	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	45		0%	30	33	15	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	84	оплот	0%	72	21	15	15	6	3	-1	0	0	0	0	0	0	0	1	кровавы	0	0	0	0			
	2	30%	42		0%	36	42	30	15	6	3	-1	0	0	0	0	0	0	0	1	дракон	0	0	0	0			
	3	20%	42		0%	36	21	15	30	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	42		0%	36	21	15	15	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	96	башня	0%	78	18	12	9	6	3	-1	0	0	0	0	0	0	0	1	сумереч	0	0	0	0			
	2	30%	48		0%	39	36	24	9	6	3	-1	0	0	0	0	0	0	0	1	дракон	0	0	0	0			
	3	20%	48		0%	39	18	12	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	48		0%	39	18	12	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	108	крепост	0%	54	24	12	9	6	3	-1	0	0	0	0	0	0	0	1	страшил	0	0	0	0			
	2	30%	54		0%	27	48	24	9	6	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	3	20%	54		0%	27	24	12	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	54		0%	27	24	12	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	144	цитадел	0%	60	21	12	9	6	3	-1	0	0	0	0	0	0	0	1	кошмарн	0	0	0	0			
	2	30%	72		0%	30	42	24	9	6	3	-1	0	0	0	0	0	0	0	1	гидра	0	0	0	0			
	3	20%	72		0%	30	21	12	18	12	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	72		0%	30	21	12	9	6	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	96	кузня	0%	48	18	9	6	3	3	-1	0	0	0	0	0	0	0	1	священн	0	0	0	0			
	2	30%	48		0%	24	36	18	6	3	3	-1	0	0	0	0	0	0	0	1	феникс	0	0	0	0			
	3	20%	48		0%	24	18	9	12	6	3	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	48		0%	24	18	9	6	3	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
Катакомбы	1	40%	120	сопряже	0%	30	15	12	12	6	6	-1	0	0	0	0	0	0	0	1	ржавый	0	0	0	0			
	2	30%	60		0%	15	30	24	12	6	6	-1	0	0	0	0	0	0	0	1	дракон	0	0	0	0			
	3	20%	60		0%	15	15	12	24	12	6	-1	0	0	0	0	0	0	0	1		0	0	0	0			
	4	10%	60		0%	15	15	12	12	6	12	-1	0	0	0	0	0	0	0	1		0	0	0	0			
