																							
ИМЯ	ПОЛ	АРТ	КЛАСС	1НАВ	1УР	2НАВ	2УР	КНИГА	ЗАКЛ	1СЛОТ	2СЛОТ	3СЛОТ	S	L	ФЛАГИ	0	0	1МИН	1МАКС	2МИН	2МАКС	3МИН	3МАКС
Интей	0	0	17	14	3	-1	0	1	31	118	112	115	6809632	6809643	257	0	0	18	18	2	2	1	1
Аэнаин	0	0	17	15	3	-1	0	1	30	118	112	115	6809654	6809665	257	0	0	18	18	2	2	1	1
Гелар	0	0	17	17	3	-1	0	1	33	118	112	115	6809676	6809687	257	0	0	18	18	2	2	1	1
Гриндан	0	0	17	16	3	-1	0	1	32	118	112	115	6809698	6809709	257	0	0	18	18	2	2	1	1
Коркес	0	0	18	5	1	-1	0	0	-1	197	199	170	6809720	6809731	257	0	0	20	20	5	5	2	2
Анабель	1	0	18	1	1	-1	0	0	-1	197	170	170	6809742	6809753	257	0	0	20	20	2	2	2	2
Лина	1	0	18	-1	0	-1	0	0	-1	197	199	170	6809764	6809775	257	0	0	20	20	5	5	2	2
Андал	0	0	18	-1	0	-1	0	0	-1	197	197	197	6809786	6809797	257	0	0	20	20	20	20	20	20
Джереми	0	5	18	20	1	-1	0	0	-1	197	199	170	6809808	6809819	257	0	0	20	20	5	5	2	2
Иллор	0	0	18	1	1	-1	0	0	-1	197	199	201	6809830	6809841	257	0	0	20	20	5	5	2	2
Дерек	0	0	18	1	1	-1	0	0	-1	199	199	199	6809852	6809863	257	0	0	5	5	5	5	5	5
Мириам	1	0	18	3	1	-1	0	0	-1	197	199	170	6809874	6809885	257	0	0	20	20	5	5	2	2
Эоваций	0	0	19	13	1	-1	0	1	65	197	199	170	6809896	6809907	257	0	0	20	20	5	5	2	2
Касметра	1	0	19	13	1	-1	0	1	58	197	199	170	6809918	6809929	257	0	0	20	20	5	5	2	2
Зилар	0	0	19	15	1	-1	0	1	61	197	199	170	6809940	6809951	257	0	0	20	20	5	5	2	2
Манфред	0	0	19	13	1	-1	0	1	47	197	199	170	6809962	6809973	257	0	0	20	20	5	5	2	2
Кассиопея	1	0	19	13	1	-1	0	1	63	197	197	197	6809984	6809995	257	0	0	20	20	20	20	20	20
Ариель	1	0	19	-1	0	-1	0	1	15	197	199	170	6810006	6810017	257	0	0	20	20	5	5	2	2
Астра	1	0	19	16	1	-1	0	1	36	197	199	170	6810028	6810039	257	0	0	20	20	5	5	2	2
Даргем	0	6	19	4	1	-1	0	1	-1	197	199	170	6810050	6810061	257	0	0	20	20	5	5	2	2
Агафон	0	0	20	20	1	-1	0	0	-1	224	224	224	6810072	6810083	257	0	0	7	7	7	7	7	7
Ипполит	0	0	20	20	1	-1	0	0	-1	225	225	225	6810094	6810105	257	0	0	4	4	4	4	4	4
Кондратий	0	0	20	20	1	-1	0	0	-1	224	210	210	6810116	6810127	257	0	0	7	7	3	3	3	3
Никодим	0	0	20	20	1	-1	0	0	-1	224	225	210	6810138	6810149	257	0	0	7	7	4	4	3	3
Зенон	0	0	20	20	1	-1	0	0	-1	224	225	210	6810160	6810171	257	0	0	7	7	4	4	3	3
Елизар	0	0	20	-1	0	-1	0	0	-1	225	225	225	6810182	6810193	257	0	0	4	4	4	4	4	4
Дементий	0	0	20	-1	0	-1	0	0	-1	224	225	210	6810204	6810215	257	0	0	7	7	4	4	3	3
Нифон	0	0	20	-1	0	-1	0	0	-1	224	225	210	6810226	6810237	257	0	0	7	7	4	4	3	3
Урсула	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810248	6810259	257	0	0	7	7	4	4	3	3
Белла	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810270	6810281	257	0	0	7	7	4	4	3	3
Джулия	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810292	6810303	257	0	0	7	7	4	4	3	3
София	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810314	6810325	257	0	0	7	7	4	4	3	3
Изольда	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810336	6810347	257	0	0	7	7	4	4	3	3
Грета	1	0	21	-1	0	-1	0	1	-1	224	225	210	6810358	6810369	257	0	0	7	7	4	4	3	3
Юнис	1	5	21	-1	0	-1	0	1	-1	224	225	210	6810380	6810391	257	0	0	7	7	4	4	3	3
Сабрина	1	6	21	-1	0	-1	0	1	-1	224	225	210	6810402	6810413	257	0	0	7	7	4	4	3	3
Агар	0	0	22	-1	0	-1	0	0	-1	232	233	239	6810424	6810435	257	0	0	30	30	8	8	2	2
Анукет	1	0	22	-1	0	-1	0	0	-1	232	233	239	6810446	6810457	257	0	0	30	30	8	8	2	2
Метаяс	0	0	22	-1	0	-1	0	0	-1	232	233	239	6810468	6810479	257	0	0	30	30	8	8	2	2
Хернейт	1	0	22	-1	0	-1	0	0	-1	232	233	239	6810490	6810501	257	0	0	30	30	8	8	2	2
Истр	0	0	22	-1	0	-1	0	0	-1	232	239	239	6810512	6810523	257	0	0	30	30	2	2	2	2
Селестина	1	0	22	-1	0	-1	0	0	-1	232	232	232	6810534	6810545	257	0	0	30	30	30	30	30	30
Джосер	0	0	22	-1	0	-1	0	0	-1	233	233	233	6810556	6810567	257	0	0	8	8	8	8	8	8
Ситра	1	0	22	-1	0	-1	0	0	-1	232	232	232	6810578	6810589	257	0	0	30	30	30	30	30	30
Варн	0	0	23	-1	0	-1	0	0	-1	232	233	239	6810600	6810611	257	0	0	30	30	8	8	2	2
Имхотеп	0	0	23	-1	0	-1	0	0	-1	232	233	239	6810622	6810633	257	0	0	30	30	8	8	2	2
Селкет	0	0	23	-1	0	-1	0	0	-1	232	233	239	6810644	6810655	257	0	0	30	30	8	8	2	2
Джаффа	0	0	23	-1	0	-1	0	0	-1	232	233	239	6810666	6810677	257	0	0	30	30	8	8	2	2
Небетхет	1	6	23	-1	0	-1	0	0	-1	232	233	239	6810688	6810699	257	0	0	30	30	8	8	2	2
Анкхсунамун	1	0	23	-1	0	-1	0	0	-1	232	233	239	6810710	6810721	257	0	0	30	30	8	8	2	2
Шесемтет	1	0	23	-1	0	-1	0	0	-1	232	233	234	6810732	6810743	257	0	0	30	30	8	8	1	1
Дуамутеф	0	7	23	-1	0	-1	0	0	-1	232	233	239	6810754	6810765	257	0	0	30	30	8	8	2	2
Г.1	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.2	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.3	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.4	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.5	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.6	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.7	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
Г.8	0	0	0	-1	0	-1	0	0	-1	212	-1	-1	6810050	6810061	257	0	0	1	1	0	0	0	0
