Comment	Message Text
373	Этот Бонус убирает природный штраф препятствий для отряда,
стреляющего через стены замка.
374	Этот Бонус дает отряду способность Летать. Летающий отряд
может перемещаться по всему полю битвы, через стены, 
препятствия и другие отряды на своем пути.
375	Этот Бонус дает отряду способность стрелять. Стрелки могут
атаковать с дистанции и не получают ответа за эти действия.
376	Этот Бонус дает отряду способность бить на 2 клетки. Эта способность
работает в рукопашной, позволяя нанести вред двум существам, на одной
линии. Будьте осторожны при планировании атак, т.к. собственные отряды
позади вражеских тоже получают повреждения.

Замечание: если отряд имеет эту способность, наряду со способностью
атаковать всех вокруг, атака на 2 клетки не будет работать.
377	Этот Бонус делает отряд Живым. Живые существа могут быть 
воскрешены заклинанием Воскрешение.
378	Этот Бонус характеризует существа отряда как Королей 1й категории.
Это означает, что они чувствительны к Базовому Заклинанию Палач.
379	Этот Бонус характеризует существа отряда как Королей 2й категории.
Это означает, что они чувствительны к Продвинутому Заклинанию Палач.
380	Этот Бонус характеризует существа отряда как Королей 1й категории.
Это означает, что они чувствительны к Экспертному Заклинанию Палач.
381	Этот Бонус дает отряду иммунитет ко всем заклинаниям Разума,
включая дружественные закл. Разума, как Бешенство и Радость..
382	Этот Бонус убирает природный штраф рукопашной, который есть
у большинства стрелков. 
383	Этот Бонус дает отряду иммунитет ко всем закл. Огня,
включая дружественные, как Жажда Крови.
384	Этот Бонус дает отряду способность атаковать дважды. При каждой атаке
(рукопашной или стрельбе), он делает это дважды, вместо одного раза.
385	Этот Бонус дает отряду способность не получать ответа на свои атаки.
386	Этот Бонус делает отряд безразличным к Боевому Духу. Отряд всегда имеет
нейтральный Боевой Дух, не получает ни бонусов, ни штрафов боевого духа.
387	Этот бонус делает отряд нежитью. Нежить нельзя воскресить,
но можно вернуть заклинанием "Восстановление Живых Мертвецов".
Нечисть также может иметь иммунитет к части заклинаний и эффектов.
388	Этот Бонус дает отряду способность атаковать всех вокруг себя.
Каждый раз, при рукопашной, все существа вблизи атакуются одновременно.

Замечание: если отряд имеет эту способность, наряду со способностью
атаковать всех вокруг, атака на 2 клетки не будет работать.
389	Этот Бонус дает существам отряда Природу Дракона. Это означает, что
отряд будет получать бонусы от артефактов, которые обычно дают бонусы
только Драконам, например - Пузырек с Кровью Дракона.
390	Этот Бонус дает отряду способность возвращаться после атаки. Т.е. после удара
отряд возвращается на место, откуда начиналась атака. Чтобы запретить возвращение
- правый клик по кнопке Обороны - там можно выбрать тип атаки из списка.
В любое время, вы сможете сменить тип атаки обратно.
391	Этот Бонус дает отряду Кавалерийский Бонус. Это свойство добавляет
5% урона отряду при рукопашной атаке за каждую клетку разбега.
392	Этот Бонус дает отряду Хороший Боевой Дух. Это означает, что Боев. Дух
отряда никогда не будет меньше, чем +1, даже если обычно был бы меньше.
393	Этот Бонус дает отряду способность стрелять вблизи врага. 
Это означает, что отряд никогда не потеряет возможность 
стрелять из-за присутствия рядом врага.
394	Этот Бонус делает отряд Бесстрашным. Бесстрашный отряд никогда
не застынет из-за страха от присутствия Страшных врагов.
395	Этот Бонус дает отряду способность возраждаться. Это означает, что часть
отряда воскресится автоматически после полной его гибели. 
Число воскрешений одно и то же для каждой битвы, и зависит от числа
возможных Заклинаний (за битву), имеющихся у отряда.
396	Этот Бонус дает отряду Ауру Сопротивления Единорога. Эта аура
дает бонус в 20% Сопротивления Магии всем соседним друж. отрядам.
397	Этот Бонус дает отряду шанс полностью блокировать физическую атаку
(в рукопашной или стрелу). Заблокированная атака не наносит урона.
398	Этот Бонус снижает цену заклинаний для хозяина отряда. Вне зависимости от скидки,
все заклинания стоят как минимум 1 очко магии.
399	Этот Бонус дает отряду шанс нанести двойной урон Смертельным Ударом.
Если это происходит, повреждения от этой атаки удваиваются.
400	Этот Бонус позволяет отряду наносить доп. урон некоторым существам.
Урон становится сильнее с повышением Рангов.
401	Этот Бонус дает отряду способность Регенерировать здоровье у первого
существа в отряде. Это может происходить автоматически или может быть
лишь шанс, что это произойдет в конкр. раунде. Максимум регенерации
здоровья может зависеть от существа и достигнутого Ранга.
402	Этот Бонус дает отряду шанс сотворить заклинание на всех
или срабатывает сразу после его атаки. Эффект длится только 
три хода.

Замечание: этот шанс добавляется к природному эффекту заклинаний
существ (если есть), даже если только одно срабатывает за ход.
Например, Боевой Единорог будет иметь свои обычные 20% шанса
ослепить, а затем некоторый шанс сотворить заклинание, полученное
от опыта армии.
403	Этот Бонус дает отряду шанс сотворить заклинание на уровне эксперта
перед тем, как атаковать. Не-массовые заклинания имеют целью атакуемый
отряд. Если заклинание имеет "общий" вариант, оно сработает именно так,
влияя на все дружественные отряды, если оно дружественное, либо на все
вражеские, если вредоносное. Замечание: некоторые заклинания, которые 
обычно затрагивают ВСЕХ существ на поле битвы могут продолжать это делать.
Например, Армагеддон будет бить по всем существам - своим и чужим.
404	Этот Бонус дает отряду шанс сотворить базовое или продвинутое 
заклинание перед атакой. аклинания имеют целью атакуемый
отряд. Замечание: некоторые заклинания, которые обычно затрагивают
ВСЕХ существ на поле битвы могут продолжать это делать.
Например, Армагеддон будет бить по всем существам - своим и чужим.
405	Этот Бонус дает отряду шанс сотворить заклинание на уровне эксперта
после атаки. Не-массовые заклинания имеют целью атакуемый
отряд. Если заклинание имеет "общий" вариант, оно сработает именно так,
влияя на все дружественные отряды, если оно дружественное, либо на все
вражеские, если вредоносное. Замечание: некоторые заклинания, которые 
обычно затрагивают ВСЕХ существ на поле битвы могут продолжать это делать.
Например, Армагеддон будет бить по всем существам - своим и чужим.

Замечание: этот шанс добавляется к природному эффекту заклинаний
существ (если есть), даже если только одно срабатывает за ход.
Например, Боевой Единорог будет иметь свои обычные 20% шанса
ослепить, а затем некоторый шанс сотворить заклинание, полученное
от опыта армии.
406	Этот Бонус дает отряду шанс сотворить базовое или продвинутое 
заклинание после атаки. аклинания имеют целью атакуемый
отряд. Замечание: некоторые заклинания, которые обычно затрагивают
ВСЕХ существ на поле битвы могут продолжать это делать.
Например, Армагеддон будет бить по всем существам - своим и чужим.

Замечание: этот шанс добавляется к природному эффекту заклинаний
существ (если есть), даже если только одно срабатывает за ход.
Например, Боевой Единорог будет иметь свои обычные 20% шанса
ослепить, а затем некоторый шанс сотворить заклинание, полученное
от опыта армии.
407	Этот Бонус Зачаровывает отряд заклинанием на время битвы. Если 
заклинание рассеяно, оно будет восстановлено в следующий ход.
Уровень заклинания может зависеть от ранга или вида существ,
заклинания могут даже быть наложены на ВСЕ дружественные отряды,
если отряд достигнет высокого ранга.
408	w неопределенная способность (в резерве)
409	Этот Бонус дает отряду способность временно ослабить Защиту у цели. 
Во время атаки другого отряда, это уменьшает Защиту цени на некоторый
процент, перед расчетом урона. Действие продолжается только на время атаки.
410	Этот Бонус увеличивает шанс срабатывания основной способности отряда после нанесения урона врагу (например, Единороги чаще ослепляют врага, а Горгоны чаще применяют смертельный удар).
411	Этот Бонус позволяет отряду Поглотить часть урона. Т.е. урон уменьшается
на некоторый процент. Поглощение урона больше на высших рангах.

Замечание: уменьшение урона НЕ БУДЕТ показано в тексте битвы,
но будет действовать корректно на Поглощающий отряд.
412	Этот Бонус позволяет отряду Поглотить часть урона. Т.е. урон уменьшается
на некоторый процент. Поглощение урона больше на высших рангах.

Замечание: уменьшение урона НЕ БУДЕТ показано в тексте битвы,
но будет действовать корректно на Поглощающий отряд.
413	Этот Бонус дает улучшенных существ в охрану к Санта-Гремлинам
вместо обычных не-улучшенных существ.
414	Этот Бонус увеличивает число охранников
в каждом отряде, охраняющем Санта-Гремлинов.
415	Этот Бонус дает отряду способность автоматически призывать отряд существ
на поле битвы. Призванные отряды будут появляться на второй раунд битвы,
пока для них есть место вокруг данного отряда. Число в призываемом отряде
вычисляется в процентном соотношении от числа существ в отряде хозяине.

Новый отряд будет призван (если есть место), раз в каждые четыре хода
(т.е., раунды 2, 6, 10, 14, и т.д.).
416	Этот Бонус дает отряду способность автоматически призывать отряд существ
на поле битвы. Призванный отряд появится на второй раунд битвы,
если для него есть место вокруг данного отряда. Число в призываемом отряде
вычисляется в процентном соотношении от числа существ в отряде хозяине.
417	Этот Бонус дает отряду способность автоматически призывать отряд клонов
на поле битвы. Отряды клонов будут появляться на второй раунд битвы,
пока для них есть место вокруг данного отряда. Число в призываемом отряде
вычисляется в процентном соотношении от числа существ в отряде хозяине.

Новый отряд клонов будет призываться (если есть место), каждый ход.

Замечание: в отличие от обычных клонов, эти клоны НЕ БУДУТ немедленно
исчезать, если вызывающий отряд погибает.
418	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1 ур., включая дружественные.
419	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1 ур., кроме дружественных.
420	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1 и 2 ур., включая дружественные.
421	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1 и 2 ур., кроме дружественных.
422	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1, 2 и 3 ур., включая дружественные.
423	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1, 2 и 3 ур., кроме дружественных.
424	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1-4 ур., включая дружественные.
425	Этот Бонус дает отряду полный иммунитет ко всем
заклинаниям 1-4 ур., кроме дружественных.
426	Этот Бонус дает отряду полный иммунитет ко
ВСЕМ заклинаниям, включая дружественные.
427	Этот Бонус дает отряду полный иммунитет ко
ВСЕМ заклинаниям, кроме дружественных.
428	Этот Бонус дает отряду полный иммунитет к Морозу.
Это включаеет в себя Стрелу Льда и Кольцо Мороза.
429	Этот Бонус дает отряду полный иммунитет к Армагеддону.
430	Этот Бонус дает отряду полный иммунитет к Магии Воздуха,
включая дружественные заклинания.
431	Этот Бонус дает отряду полный иммунитет к Магии Воздуха,
кроме дружественных заклинаний.
432	Этот Бонус дает отряду полный иммунитет к Магии Огня,
включая дружественные заклинания.
433	Этот Бонус дает отряду полный иммунитет к Магии Огня,
кроме дружественных заклинаний.
434	Этот Бонус дает отряду полный иммунитет к Магии Воды,
включая дружественные заклинания.
435	Этот Бонус дает отряду полный иммунитет к Магии Воды,
кроме дружественных заклинаний.
436	Этот Бонус дает отряду полный иммунитет к Магии Земли,
включая дружественные заклинания.
437	Этот Бонус дает отряду полный иммунитет к Магии Земли,
кроме дружественных заклинаний.
438	Этот Бонус дает отряду полный иммунитет к след. заклинаниям:
Молния, Гром Титана, и Цепь Молний.
439	Этот Бонус убирает природный иммунитет отряда к друж. заклинаниям.
Например, Черные Драконы с этой способностью могут быть целью
любыми дружественными заклинаниями любого уровня.
440	Этот Бонус дает отряду полный иммунитет к заклинанию Метеоритный Дождь.
441	Этот Бонус дает отряду полный иммунитет к заклинанию Взрыв.
442	Этот Бонус дает отряду полный иммунитет к заклинанию Рассеивание.
443	Этот Бонус дает отряду полный иммунитет к
Рассеиванию Друж. Заклинаний (напр. способностью Драконо-Мух).
444	Этот Бонус дает отряду полный иммунитет заклинанию Слепота.
445	Этот Бонус дает отряду полный иммунитет к заклинанию Берсерк.
446	Этот Бонус дает отряду полный иммунитет к заклинанию Гипноз.
447	Этот Бонус дает отряду полный иммунитет к заклинанию Медлительность.
448	Этот Бонус дает отряду полный иммунитет к следующим огненным заклинаниям:
Огненная Стена, Огненный Шар, Мина, Армагеддон, урон от Огн. Щита и Инферно.
449	Этот Бонус дает отряду полный иммунитет к следующим направленным заклинаниям:
Волшебная Стрела, Молния, Цепь Молний, Метеоритный Дождь, Взрыв, Огненный Шар,
Армагеддон, урон от Огн. Щита, Инферно, Стрелы Льда и Кольца Мороза.
450	Этот Бонус дает отряду полный иммунитет к вражескому рассеиванию.
451	Этот Бонус дает отряду полный иммунитет к следующей магии Разума:
Слепота, Берсерк, Печаль, Гипноз и Забывчивость.
452	Текущий Бонус Артефакта (Правый клик по артефакту, чтобы сменить) :
453	Текущий Бонус Артефакта (сейчас нельзя сменить) :
454	Замечание: Вы не можете сменить Действие Артефакта во время Битвы или просматривая инф. по улучшенным существам
455	Правый клик, чтобы узнать больше об Опыте Армии по этому отряду
456	
457	for Dlg_Expa_Mon.dll
458	Вы желаете передать артефакт герою?
459	ИНФОРМАЦИЯ ПО ОПЫТУ АРМИИ
460	Тип существа:

461	Ранг Опыта:

462	Очки Опыта:

463	Очки Опыта до следующего Ранга:

464	Максимум опыта за битву:
465	Число существ в отряде:
466	Максимум новобранцев без потери текущего ранга:
467	Коэффициент опыта:
468	Коэффициент yлучшения:
469	Опыт по достижению ранга 10:
470	Максимум новобранцев без потери ранга 10:

